,code,value_represented
0,10020,"Abbeville, LA"
1,10100,"Aberdeen, SD"
2,10140,"Aberdeen, WA"
3,10180,"Abilene, TX"
4,10220,"Ada, OK"
5,10260,"Adjuntas, PR"
6,10300,"Adrian, MI"
7,10380,"Aguadilla-Isabela, PR"
8,10420,"Akron, OH"
9,10460,"Alamogordo, NM"
10,10500,"Albany, GA"
11,10540,"Albany, OR"
12,10580,"Albany-Schenectady-Troy, NY"
13,10620,"Albemarle, NC"
14,10660,"Albert Lea, MN"
15,10700,"Albertville, AL"
16,10740,"Albuquerque, NM"
17,10760,"Alexander City, AL"
18,10780,"Alexandria, LA"
19,10820,"Alexandria, MN"
20,10860,"Alice, TX"
21,10880,"Allegan, MI"
22,10900,"Allentown-Bethlehem-Easton, PA-NJ"
23,10940,"Alma, MI"
24,10980,"Alpena, MI"
25,11020,"Altoona, PA"
26,11060,"Altus, OK"
27,11100,"Amarillo, TX"
28,11140,"Americus, GA"
29,11180,"Ames, IA"
30,11220,"Amsterdam, NY"
31,11260,"Anchorage, AK"
32,11300,"Anderson, IN"
33,11340,"Anderson, SC"
34,11380,"Andrews, TX"
35,11420,"Angola, IN"
36,11460,"Ann Arbor, MI"
37,11500,"Anniston-Oxford-Jacksonville, AL"
38,11540,"Appleton, WI"
39,11580,"Arcadia, FL"
40,11620,"Ardmore, OK"
41,11640,"Arecibo, PR"
42,11660,"Arkadelphia, AR"
43,11680,"Arkansas City-Winfield, KS"
44,11700,"Asheville, NC"
45,11740,"Ashland, OH"
46,11780,"Ashtabula, OH"
47,11820,"Astoria, OR"
48,11860,"Atchison, KS"
49,11900,"Athens, OH"
50,11940,"Athens, TN"
51,11980,"Athens, TX"
52,12020,"Athens-Clarke County, GA"
53,12060,"Atlanta-Sandy Springs-Roswell, GA"
54,12100,"Atlantic City-Hammonton, NJ"
55,12140,"Auburn, IN"
56,12180,"Auburn, NY"
57,12220,"Auburn-Opelika, AL"
58,12260,"Augusta-Richmond County, GA-SC"
59,12300,"Augusta-Waterville, ME"
60,12380,"Austin, MN"
61,12420,"Austin-Round Rock, TX"
62,12460,"Bainbridge, GA"
63,12540,"Bakersfield, CA"
64,12580,"Baltimore-Columbia-Towson, MD"
65,12620,"Bangor, ME"
66,12660,"Baraboo, WI"
67,12680,"Bardstown, KY"
68,12700,"Barnstable Town, MA"
69,12740,"Barre, VT"
70,12780,"Bartlesville, OK"
71,12820,"Bastrop, LA"
72,12860,"Batavia, NY"
73,12900,"Batesville, AR"
74,12940,"Baton Rouge, LA"
75,12980,"Battle Creek, MI"
76,13020,"Bay City, MI"
77,13060,"Bay City, TX"
78,13100,"Beatrice, NE"
79,13140,"Beaumont-Port Arthur, TX"
80,13180,"Beaver Dam, WI"
81,13220,"Beckley, WV"
82,13260,"Bedford, IN"
83,13300,"Beeville, TX"
84,13340,"Bellefontaine, OH"
85,13380,"Bellingham, WA"
86,13420,"Bemidji, MN"
87,13460,"Bend-Redmond, OR"
88,13500,"Bennettsville, SC"
89,13540,"Bennington, VT"
90,13620,"Berlin, NH-VT"
91,13660,"Big Rapids, MI"
92,13700,"Big Spring, TX"
93,13720,"Big Stone Gap, VA"
94,13740,"Billings, MT"
95,13780,"Binghamton, NY"
96,13820,"Birmingham-Hoover, AL"
97,13860,"Bishop, CA"
98,13900,"Bismarck, ND"
99,13940,"Blackfoot, ID"
100,13980,"Blacksburg-Christiansburg-Radford, VA"
101,14010,"Bloomington, IL"
102,14020,"Bloomington, IN"
103,14060,"Bloomington-Normal, IL"
104,14100,"Bloomsburg-Berwick, PA"
105,14140,"Bluefield, WV-VA"
106,14180,"Blytheville, AR"
107,14220,"Bogalusa, LA"
108,14260,"Boise City, ID"
109,14300,"Bonham, TX"
110,14340,"Boone, IA"
111,14380,"Boone, NC"
112,14420,"Borger, TX"
113,14460,"Boston-Cambridge-Newton, MA-NH"
114,14500,"Boulder, CO"
115,14540,"Bowling Green, KY"
116,14580,"Bozeman, MT"
117,14600,"Bradenton-Sarasota-Venice, FL"
118,14620,"Bradford, PA"
119,14660,"Brainerd, MN"
120,14700,"Branson, MO"
121,14720,"Breckenridge, CO"
122,14740,"Bremerton-Silverdale, WA"
123,14780,"Brenham, TX"
124,14820,"Brevard, NC"
125,14860,"Bridgeport-Stamford-Norwalk, CT"
126,14940,"Brigham City, UT"
127,15020,"Brookhaven, MS"
128,15060,"Brookings, OR"
129,15100,"Brookings, SD"
130,15140,"Brownsville, TN"
131,15180,"Brownsville-Harlingen, TX"
132,15220,"Brownwood, TX"
133,15260,"Brunswick, GA"
134,15340,"Bucyrus, OH"
135,15380,"Buffalo-Cheektowaga-Niagara Falls, NY"
136,15420,"Burley, ID"
137,15460,"Burlington, IA-IL"
138,15500,"Burlington, NC"
139,15540,"Burlington-South Burlington, VT"
140,15580,"Butte-Silver Bow, MT"
141,15620,"Cadillac, MI"
142,15660,"Calhoun, GA"
143,15680,"California-Lexington Park, MD"
144,15700,"Cambridge, MD"
145,15740,"Cambridge, OH"
146,15780,"Camden, AR"
147,15820,"Campbellsville, KY"
148,15860,"Ca¤on City, CO"
149,15900,"Canton, IL"
150,15940,"Canton-Massillon, OH"
151,15980,"Cape Coral-Fort Myers, FL"
152,16020,"Cape Girardeau, MO-IL"
153,16060,"Carbondale-Marion, IL"
