,code,value_represented
0,11101,Suspended particulate (TSP)
1,11102,Suspended particulate (TSP) LC
2,11103,Benzene soluble organics (TSP)
3,11104,Total polynuclear hydrocarbons
4,11114,Windblown particulate
5,11121,Crystalline quartz
6,11122,Cristabalite
7,11123,Asbestos > 5um
8,11124,Asbestos > 0.5um
9,11125,Total non-asbestos fibers
10,11201,Soil index (COH)
11,11202,Soil index (RUD)
12,11203,Light scatter
13,11204,Smoke
14,11205,Soil index (ug/m3)
15,11206,Light scatter (ug/m3)
16,11207,Light scatter (miles visibility)
17,11208,Deciview
18,11301,Alpha radiation (TSP)
19,11302,Beta radiation (TSP)
20,11343,Antimony - 121 (TSP)
21,11344,Arsenic - 75 (TSP)
22,11345,Chromium - 50 (TSP)
23,11346,Chromium - 52 (TSP)
24,11347,Chromium - 53 (TSP)
25,11348,Cobalt - 59 (TSP)
26,11349,Copper - 63 (TSP)
27,11350,Iron - 56 (TSP)
28,11351,Lead - 208 (TSP)
29,11352,Manganese - 55 (TSP)
30,11353,Molybdenum - 98 (TSP)
31,11354,Nickel - 60 (TSP)
32,11355,Strontium - 88 (TSP)
33,11356,Tin - 117 (TSP)
34,11357,Zinc - 66 (TSP)
35,11358,Iron - 57 (TSP)
36,11359,Nickel - 58 (TSP)
37,11360,Zinc - 64 (TSP)
38,11361,Tin - 120 (TSP)
39,11362,Vanadium - 51 (TSP)
40,12101,Aluminum (TSP) STP
41,12102,Antimony (TSP) STP
42,12103,Arsenic (TSP) STP
43,12105,Beryllium (TSP) STP
44,12106,Bismuth (TSP) STP
45,12107,Barium (TSP) STP
46,12109,Bromine (TSP) STP
47,12110,Cadmium (TSP) STP
48,12111,Calcium (TSP) STP
49,12112,Chromium (TSP) STP
50,12113,Cobalt (TSP) STP
51,12114,Copper (TSP) STP
52,12115,Chromium VI (TSP) STP
53,12117,Cerium (TSP) STP
54,12118,Cesium (TSP) STP
55,12121,Europium (TSP) STP
56,12124,Gallium (TSP) STP
57,12125,Germanium (TSP) STP
58,12126,Iron (TSP) STP
59,12127,Hafnium (TSP) STP
60,12128,Lead (TSP) STP
61,12129,Lead-210 (TSP) STP
62,12131,Indium (TSP) STP
63,12132,Manganese (TSP) STP
64,12133,Iridium (TSP) STP
65,12134,Molybdenum (TSP) STP
66,12136,Nickel (TSP) STP
67,12138,Thorium-230 (TSP) STP
68,12139,Thorium-232 (TSP) STP
69,12140,Magnesium (TSP) STP
70,12142,Mercury (TSP) STP
71,12143,Gold (TSP) STP
72,12146,Lanthanum (TSP) STP
73,12147,Niobium (TSP) STP
74,12150,Platinum (TSP) STP
75,12151,Palladium (TSP) STP
76,12152,Phosphorus (TSP) STP
77,12153,Polonium-210 (TSP) STP
78,12154,Selenium (TSP) STP
79,12160,Tin (TSP) STP
80,12161,Titanium (TSP) STP
81,12162,Samarium (TSP) STP
82,12163,Scandium (TSP) STP
83,12164,Vanadium (TSP) STP
84,12165,Silicon (TSP) STP
85,12166,Silver (TSP) STP
86,12167,Zinc (TSP) STP
87,12168,Strontium (TSP) STP
88,12169,Sulfur (TSP) STP
89,12170,Tantalum (TSP) STP
90,12171,Tellurium and compounds as Te (TSP) STP
91,12172,Terbium (TSP) STP
92,12173,Thallium (TSP) STP
93,12176,Rubidium (TSP) STP
94,12178,Tungsten (TSP) STP
95,12179,Uranium (TSP) STP
96,12180,Potassium (TSP) STP
97,12183,Yttrium (TSP) STP
98,12184,Sodium (TSP) STP
99,12185,Zirconium (TSP) STP
100,12187,Radium-226 (TSP) STP
101,12188,Radium-228 (TSP) STP
102,12190,Boron (TSP) STP
103,12191,Chlorine (TSP) STP
104,12201,Bromide (TSP) STP
105,12202,Fluoride (TSP) STP
106,12203,Chloride (TSP) STP
107,12204,Iodide (TSP) STP
108,12208,Fluoride (vegation)
109,12209,Fluoride (paper samplers)
110,12301,Ammonium (TSP) STP
111,12306,Nitrate (TSP) STP
112,12309,Nitrite (TSP) STP
113,12345,Phosphate (TSP) STP
114,12402,Sulfuric acid (TSP) STP
115,12403,Sulfate (TSP) STP
116,12602,Hydrogen ion conc (TSP) STP
117,12803,Asbestos amphibole (TSP)
118,13115,Chlorine (TSP)
119,14101,Aluminum (TSP) LC
120,14102,Antimony (TSP) LC
121,14103,Arsenic (TSP) LC
122,14105,Beryllium (TSP) LC
123,14107,Barium (TSP) LC
124,14110,Cadmium (TSP) LC
125,14111,Calcium (TSP) LC
126,14112,Chromium (TSP) LC
127,14113,Cobalt (TSP) LC
128,14114,Copper(TSP) LC
129,14115,Chromium VI (TSP) LC
130,14126,Iron (TSP) LC
131,14128,Lead (TSP) LC Non-FRM/FEM
132,14129,Lead (TSP) LC
133,14132,Manganese (TSP) LC
134,14134,Molybdenum(TSP) LC
135,14136,Nickel (TSP) LC
136,14140,Magnesium (TSP) LC
137,14142,Mercury (TSP) LC
138,14154,Selenium (TSP) LC
139,14160,Tin (TSP) LC
140,14164,Vanadium (TSP) LC
141,14166,Silver (TSP) LC
142,14167,Zinc (TSP) LC
143,14173,Thallium (TSP) LC
144,14306,Nitrate (TSP) LC
145,14403,Sulfate (TSP) LC
146,16111,Carbon black (TSP)
147,16115,Paraffins (alkanes)
148,16117,Tridymite
149,16118,Aroclor 1060
150,16119,Aroclor1221
151,16120,Aroclor 1232
152,16121,Aroclor 1242
153,16122,Aroclor 1248
154,16123,Aroclor 1254
155,16127,>=C10 Alkenes
156,16128,C4-C9 Alkenes
157,16210,n-Hexadecane
158,16212,4-Phenylcyclohexene
159,16320,Cellulose (TSP)
160,16521,Methyl isoamyl ketone
161,16601,"1,2-Epoxybutane (TSP)STP"
162,16714,Hexamethylene diisocyanate
163,16722,N-Nitrosodimethylamine (TSP) STP
164,16724,"1,2,4,5-Tetrachlorobenzene (TSP) STP"
165,16725,"1,2,4-Trichlorobenzene (TSP) STP"
166,16726,"1,2-Dichlorobenzene (TSP) STP  "
167,16727,"1,3-Dichlorobenzene (TSP) STP"
168,16728,"1,3-Dinitrobenzene (TSP) STP"
169,16729,"1,4-Dichlorobenzene (TSP) STP"
170,16730,"1,4-Naphthoquinone (TSP) STP"
171,16731,1-Naphthylamine (TSP) STP
172,16732,"2,3,4,6-Tetrachlorophenol (TSP) STP"
173,16733,"2,4,5-Trichlorophenol (TSP) STP"
174,16734,"2,4,6-Trichlorophenol (TSP) STP"
175,16735,"2,4-Dichlorophenol (TSP) STP"
176,16736,"2,4-Dimethylphenol (TSP) STP"
177,16737,"2,4-Dinitrophenol (TSP) STP"
178,16738,"2,4-Dinitrotoluene (TSP) STP"
179,16739,"2,6-Dichlorophenol (TSP) STP"
180,16740,"2,6-Dinitrotoluene (TSP) STP"
181,16741,2-Acetylaminofluorene (TSP) STP
182,16742,2-Chloronaphthalene (TSP) STP
183,16743,2-Chlorophenol  (TSP) STP
184,16744,2-Naphthylamine  (TSP) STP
185,16745,2-Nitroaniline  (TSP) STP
186,16746,2-Nitrophenol  (TSP) STP
187,16747,2-Picoline  (TSP) STP
188,16748,"3,3'-Dimethoxybenzidine  (TSP) STP"
189,16749,3-Methylcholanthrene  (TSP) STP
190,16750,3-Nitroaniline  (TSP) STP
191,16751,"4,6-Dinitro-2-methylphenol  (TSP) STP"
192,16752,4-Aminobiphenyl  (TSP) STP
193,16753,4-Bromophenyl phenyl ether  (TSP) STP
194,16754,4-Chloro-3-methylphenol  (TSP) STP
195,16755,4-Chloroaniline  (TSP) STP
196,16756,4-Chlorophenyl-phenyl ether  (TSP) STP
197,16757,4-Dimethylaminoazobenzene  (TSP) STP
198,16758,4-Nitroaniline  (TSP) STP
199,16759,4-Nitrophenol  (TSP) STP
200,16760,5-Nitro-o-toluidine  (TSP) STP
201,16761,"7,12-Dimethylbenz[a]anthracene  (TSP) STP"
202,16762,Acetophenone  (TSP) STP
203,16763,Aniline  (TSP) STP
204,16764,Azobenzene  (TSP) STP
205,16765,Benzidine  (TSP) STP
206,16766,Benzyl alcohol  (TSP) STP
207,16767,bis (2-chloroethyl)ether  (TSP) STP
208,16768,bis(2-chloroethoxy)methane  (TSP) STP
209,16769,bis(2-chloroisopropyl)ether  (TSP) STP
210,16770,bis(2-ethylhexyl)phthalate  (TSP) STP
211,16771,Butyl benzyl phthalate  (TSP) STP
212,16772,Carbazole (TSP) STP
213,16773,Chlorobenzilate  (TSP) STP
214,16774,Diallate  (TSP) STP
215,16775,Diethyl phthalate  (TSP) STP
216,16776,Dimethyl phthalate  (TSP) STP
217,16777,Di-n-butyl phthalate  (TSP) STP
218,16778,Di-n-octyl phthalate  (TSP) STP
219,16779,Dinoseb  (TSP) STP
220,16780,Diphenylamine  (TSP) STP
221,16781,Ethyl methanesulfonate  (TSP) STP
222,16782,Hexachlorobutadiene  (TSP) STP
223,16783,Hexachloropropene  (TSP) STP
224,16784,Isodrin  (TSP) STP
225,16785,Isosafrole  (TSP) STP
226,16786,m and p-Cresol  (TSP) STP
227,16787,Methyl methanesulfonate  (TSP) STP
228,16788,Nitrobenzene (TSP) STP
229,16789,N-Nitrosodibutylamine  (TSP) STP
230,16790,N-Nitrosodiethylamine  (TSP) STP
231,16791,N-Nitrosodipropylamine  (TSP) STP
232,16792,N-Nitrosomethylethylamine  (TSP) STP
233,16793,N-Nitrosopiperidine  (TSP) STP
234,16794,N-Nitrosopyrrolidine  (TSP) STP
235,16795,Pentachloroethane  (TSP) STP
236,16796,Phenacetin  (TSP) STP
237,16797,Phenol  (TSP) STP
238,16798,Pronamide (TSP) STP
239,16799,Pyridine (TSP) STP
240,16801,Safrole (TSP) STP
241,16807,Hexachloroethane (TSP) STP
242,16822,"1,2-Dichlorotetrafluoroethane"
243,16826,Hexachlorocyclopentadiene (TSP) STP
244,16901,Epichlorohydrin(DUP)
245,16906,"1,4-Dioxin"
246,16914,Isophorone (TSP) STP
247,16915,2-Methylnaphthalene (TSP) STP
