created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-01-01 00:00:00 UTC,0.35,0.63,0.82,14418.89,-89.68,58.83,58.50,0.57,
2020-01-02 00:00:00 UTC,1.42,2.75,3.57,15871.95,-89.16,55.25,53.60,2.71,
2020-01-03 00:00:00 UTC,1.07,1.84,2.26,17303.89,-88.57,56.84,57.55,1.84,
2020-01-04 00:00:00 UTC,0.48,1.05,1.48,18748.87,-84.73,54.49,53.32,1.05,
2020-01-05 00:00:00 UTC,1.47,2.41,2.80,20186.00,-82.69,54.15,54.15,2.36,
2020-01-06 00:00:00 UTC,0.91,1.50,1.81,21626.00,-81.78,54.40,57.41,1.50,
2020-01-07 00:00:00 UTC,0.03,0.07,0.11,23065.62,-84.31,58.52,61.86,0.07,
2020-01-08 00:00:00 UTC,0.08,0.27,0.49,24506.00,-84.65,55.12,52.94,0.27,
2020-01-09 00:00:00 UTC,2.64,4.06,4.55,25945.38,-84.88,49.84,51.40,4.06,
2020-01-10 00:00:00 UTC,4.30,6.53,7.22,27387.42,-82.93,50.48,54.58,6.53,
2020-01-11 00:00:00 UTC,0.72,1.43,1.88,28828.16,-82.86,54.37,56.96,1.43,
2020-01-12 00:00:00 UTC,1.22,2.18,2.62,30267.00,-84.30,51.80,52.89,2.11,
2020-01-13 00:00:00 UTC,4.67,7.20,8.19,17687.93,-86.81,47.74,49.13,7.03,
2020-01-14 00:00:00 UTC,2.19,3.79,4.52,1221.00,-89.65,44.07,48.82,3.79,
2020-01-15 00:00:00 UTC,1.02,1.85,2.32,2661.00,-89.57,45.21,47.27,1.85,
2020-01-16 00:00:00 UTC,1.65,2.78,3.36,4101.00,-90.71,49.97,48.78,2.69,
2020-01-17 00:00:00 UTC,2.26,3.72,4.43,1014.21,-90.88,47.10,50.55,3.70,
2020-01-18 00:00:00 UTC,2.36,3.67,4.18,2029.00,-93.00,50.87,55.38,3.67,
2020-01-19 00:00:00 UTC,2.85,4.33,4.89,3469.00,-92.64,54.97,57.63,4.33,
2020-01-20 00:00:00 UTC,4.77,7.05,7.74,4000.49,-94.64,55.47,58.02,7.05,
2020-01-21 00:00:00 UTC,3.83,5.53,6.10,948.17,-93.72,55.14,57.52,5.58,
2020-01-22 00:00:00 UTC,0.37,0.85,1.27,2386.06,-91.44,54.48,58.58,0.85,
2020-01-23 00:00:00 UTC,0.87,1.34,1.53,3819.52,-90.35,58.98,60.94,1.34,
2020-01-24 00:00:00 UTC,0.65,1.09,1.36,5266.00,-85.33,60.03,60.93,1.09,
2020-01-25 00:00:00 UTC,1.31,2.23,2.63,6705.26,-85.47,58.33,58.88,2.23,
2020-01-26 00:00:00 UTC,1.64,2.75,3.33,8146.80,-84.11,58.25,57.17,2.75,
2020-01-27 00:00:00 UTC,0.23,0.74,1.23,9585.23,-84.14,56.55,54.43,0.74,
2020-01-28 00:00:00 UTC,0.90,1.58,1.95,11024.32,-83.99,57.62,57.49,1.58,
2020-01-29 00:00:00 UTC,1.04,1.58,1.85,12466.49,-84.14,57.79,58.60,1.58,
2020-01-30 00:00:00 UTC,4.62,7.50,8.35,13905.18,-83.99,55.81,56.31,7.46,
2020-01-31 00:00:00 UTC,0.78,1.20,1.35,15346.64,-84.67,59.56,62.46,1.20,
2020-02-01 00:00:00 UTC,0.16,0.40,0.63,16780.82,-83.33,60.12,60.84,0.40,
2020-02-02 00:00:00 UTC,1.19,2.23,2.81,18224.60,-83.83,51.06,49.09,2.23,
2020-02-03 00:00:00 UTC,1.21,2.06,2.44,19659.21,-85.12,50.37,47.20,2.06,
2020-02-04 00:00:00 UTC,5.07,7.70,8.69,21105.00,-85.22,48.20,49.94,7.68,
2020-02-05 00:00:00 UTC,0.76,1.30,1.53,22544.21,-84.93,51.84,58.32,1.30,
2020-02-06 00:00:00 UTC,2.66,4.45,4.95,23985.00,-86.26,56.31,59.86,4.45,
2020-02-07 00:00:00 UTC,2.04,3.23,3.58,25422.69,-86.88,56.04,58.66,3.23,
2020-02-08 00:00:00 UTC,0.25,0.87,1.55,26868.02,-84.75,54.77,55.86,0.87,
2020-02-09 00:00:00 UTC,1.43,2.49,3.06,28305.00,-85.71,51.60,52.63,2.49,
2020-02-10 00:00:00 UTC,8.36,12.21,13.52,29745.97,-87.91,50.95,51.67,12.21,
2020-02-11 00:00:00 UTC,6.13,9.10,10.18,10854.93,-87.89,51.59,52.80,9.10,
2020-02-12 00:00:00 UTC,7.02,10.46,11.48,1505.32,-88.57,55.09,56.33,10.46,
2020-02-13 00:00:00 UTC,5.09,7.54,8.26,2926.60,-86.39,54.38,55.69,7.54,
2020-02-14 00:00:00 UTC,0.42,0.89,1.28,270.79,-87.59,53.44,52.27,0.89,
2020-02-15 00:00:00 UTC,0.32,0.86,1.37,487.74,-87.56,53.23,55.00,0.86,
2020-02-16 00:00:00 UTC,0.80,1.52,2.00,330.46,-87.13,53.77,54.21,1.52,
2020-02-17 00:00:00 UTC,2.49,3.99,4.64,406.65,-87.21,51.67,50.01,3.99,
2020-02-18 00:00:00 UTC,4.41,6.71,7.55,912.22,-87.21,49.88,47.97,6.71,
2020-02-19 00:00:00 UTC,3.92,6.04,6.83,983.00,-88.76,49.65,43.63,6.02,
2020-02-20 00:00:00 UTC,4.36,6.60,7.42,2423.15,-88.40,50.52,41.52,6.60,
2020-02-21 00:00:00 UTC,6.19,9.29,10.35,3863.00,-88.03,51.10,45.10,9.29,
2020-02-22 00:00:00 UTC,3.29,4.98,5.59,5303.08,-88.20,54.65,48.63,4.98,
2020-02-23 00:00:00 UTC,5.99,9.04,10.18,6746.03,-86.22,54.41,52.22,9.03,
2020-02-24 00:00:00 UTC,0.79,1.88,2.90,2476.49,-87.13,52.89,45.32,1.88,
2020-02-25 00:00:00 UTC,3.96,6.53,7.82,1757.00,-85.42,53.28,46.41,6.53,
2020-02-26 00:00:00 UTC,4.82,7.45,8.56,3196.61,-85.23,56.36,50.31,7.45,
2020-02-27 00:00:00 UTC,4.33,6.51,7.29,4637.00,-85.66,56.55,48.87,6.51,
2020-02-28 00:00:00 UTC,4.80,7.42,8.47,6077.00,-83.86,54.01,50.12,7.42,
2020-02-29 00:00:00 UTC,0.19,0.48,0.76,7517.00,-82.89,53.94,52.38,0.48,
2020-03-01 00:00:00 UTC,2.59,4.09,4.78,8957.00,-85.47,52.50,46.84,4.09,
2020-03-02 00:00:00 UTC,2.34,3.84,4.50,10397.00,-84.37,54.35,50.62,3.84,
2020-03-03 00:00:00 UTC,0.75,1.17,1.30,11837.00,-84.95,57.91,53.93,1.06,
