created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-01-01 00:00:00 UTC,0.15,0.35,0.52,12449.06,-76.35,59.67,62.48,0.35,
2020-01-02 00:00:00 UTC,0.96,1.66,2.17,13899.10,-76.00,52.45,61.45,1.66,
2020-01-03 00:00:00 UTC,2.19,3.00,3.40,15332.17,-76.47,56.25,63.51,3.00,
2020-01-04 00:00:00 UTC,0.78,1.24,1.58,16771.17,-76.77,54.54,56.46,1.24,
2020-01-05 00:00:00 UTC,1.08,1.53,1.81,18212.00,-77.63,52.35,59.60,1.53,
2020-01-06 00:00:00 UTC,0.21,0.46,0.67,19652.00,-77.98,51.84,67.23,0.46,
2020-01-07 00:00:00 UTC,0.29,0.45,0.56,21091.00,-77.46,56.79,69.34,0.44,
2020-01-08 00:00:00 UTC,0.23,0.42,0.60,22529.56,-77.66,52.93,59.61,0.42,
2020-01-09 00:00:00 UTC,7.72,10.47,11.53,23971.00,-77.80,48.49,57.79,10.47,
2020-01-10 00:00:00 UTC,7.10,10.31,11.52,25411.53,-79.06,46.93,63.93,10.31,
2020-01-11 00:00:00 UTC,0.92,1.37,1.66,26851.13,-79.49,51.92,65.00,1.37,
2020-01-12 00:00:00 UTC,0.47,0.75,0.98,28293.77,-79.31,49.78,61.07,0.75,
2020-01-13 00:00:00 UTC,1.29,2.01,2.47,29736.58,-79.00,45.48,57.15,2.01,
2020-01-14 00:00:00 UTC,3.23,4.44,5.04,17574.44,-79.68,42.04,54.99,4.44,
2020-01-15 00:00:00 UTC,1.34,1.85,2.18,1258.93,-78.36,43.18,51.33,1.85,
2020-01-16 00:00:00 UTC,0.83,1.30,1.58,781.00,-76.37,50.27,47.85,1.30,
2020-01-17 00:00:00 UTC,2.84,3.92,4.45,2220.62,-75.70,48.11,55.40,3.92,
2020-01-18 00:00:00 UTC,1.75,2.37,2.68,3661.00,-75.30,50.56,58.16,2.36,
2020-01-19 00:00:00 UTC,3.78,4.95,5.41,5101.00,-75.04,56.39,54.18,4.95,
2020-01-20 00:00:00 UTC,10.60,14.21,15.42,6541.00,-76.94,56.27,59.49,13.90,
2020-01-21 00:00:00 UTC,6.64,8.90,9.73,7981.00,-77.13,54.56,60.56,8.90,
2020-01-22 00:00:00 UTC,0.63,1.11,1.45,9421.00,-76.67,52.40,65.47,1.11,
