created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-01-01 00:00:00 UTC,0.91,1.52,2.18,25151.00,-72.78,55.91,66.18,1.52,
2020-01-02 00:00:00 UTC,1.63,2.94,4.44,26591.00,-72.08,49.95,63.74,2.89,
2020-01-03 00:00:00 UTC,2.01,3.00,3.87,28031.00,-72.85,53.76,65.17,3.00,
2020-01-04 00:00:00 UTC,1.02,1.91,2.88,29471.00,-73.01,51.60,57.12,1.91,
2020-01-05 00:00:00 UTC,1.20,2.03,2.80,30911.00,-72.97,49.26,60.76,2.03,
2020-01-06 00:00:00 UTC,1.06,1.73,2.39,32351.00,-73.04,50.11,67.19,1.73,
2020-01-07 00:00:00 UTC,1.03,1.51,1.85,33791.91,-73.61,55.46,68.91,1.51,
2020-01-08 00:00:00 UTC,0.47,1.03,1.67,35231.00,-72.63,50.22,60.21,1.03,
2020-01-09 00:00:00 UTC,7.49,10.70,12.77,36671.00,-71.80,44.68,62.32,10.70,
2020-01-10 00:00:00 UTC,5.95,9.07,11.17,38077.00,-67.66,44.43,64.97,9.06,
2020-01-11 00:00:00 UTC,1.01,1.82,2.66,39551.54,-72.33,49.45,66.50,1.37,
2020-01-12 00:00:00 UTC,1.16,2.00,2.84,40991.00,-74.42,46.88,62.54,2.00,
2020-01-13 00:00:00 UTC,2.51,4.05,5.69,42431.00,-74.53,41.23,60.89,4.05,
2020-01-14 00:00:00 UTC,4.84,7.17,8.91,43871.00,-75.01,37.01,61.27,7.12,
2020-01-15 00:00:00 UTC,1.03,1.83,2.59,45311.00,-74.63,40.45,51.17,1.83,
2020-01-16 00:00:00 UTC,0.79,1.47,2.10,46751.00,-78.17,45.90,49.62,1.47,
2020-01-17 00:00:00 UTC,4.31,6.41,7.96,48191.31,-78.06,44.34,57.65,6.41,
2020-01-18 00:00:00 UTC,1.32,1.99,2.52,49631.00,-75.38,48.08,59.51,1.99,
2020-01-19 00:00:00 UTC,2.55,3.69,4.39,51070.79,-72.69,53.81,54.15,3.69,
2020-01-20 00:00:00 UTC,5.42,7.60,9.07,52511.00,-74.00,55.64,51.44,7.58,
2020-01-21 00:00:00 UTC,4.25,5.98,7.23,53950.73,-73.47,53.18,57.18,5.97,
2020-01-22 00:00:00 UTC,0.83,1.62,2.42,55391.00,-73.84,50.24,66.28,1.66,
2020-01-23 00:00:00 UTC,2.69,3.80,4.53,46934.10,-72.86,55.61,69.52,3.80,
2020-01-24 00:00:00 UTC,1.41,2.21,2.86,967.74,-73.82,55.76,69.23,2.21,
2020-01-25 00:00:00 UTC,3.16,4.56,5.46,2407.81,-73.13,54.25,68.56,4.56,
2020-01-26 00:00:00 UTC,2.39,3.55,4.47,3847.00,-73.02,54.93,63.67,3.55,
2020-01-27 00:00:00 UTC,1.12,2.02,2.97,5287.00,-75.55,52.88,59.52,2.02,
2020-01-28 00:00:00 UTC,0.93,1.52,2.03,6726.41,-74.46,53.00,65.70,1.51,
2020-01-29 00:00:00 UTC,3.22,4.57,5.48,8166.93,-75.72,53.97,66.22,4.57,
2020-01-30 00:00:00 UTC,9.42,14.46,17.73,9607.00,-77.22,52.41,67.20,14.39,
2020-01-31 00:00:00 UTC,2.91,4.00,4.71,11047.51,-77.58,55.99,72.59,4.00,
2020-02-01 00:00:00 UTC,0.89,1.59,2.27,12487.00,-75.70,56.60,68.31,1.57,
2020-02-02 00:00:00 UTC,2.53,4.12,5.48,13929.30,-74.33,45.43,59.47,4.12,
2020-02-03 00:00:00 UTC,2.57,3.88,4.94,15367.00,-73.92,46.23,54.36,3.88,
2020-02-04 00:00:00 UTC,5.82,8.36,10.07,16807.00,-73.38,43.01,59.09,8.36,
2020-02-05 00:00:00 UTC,4.40,6.17,7.32,18247.00,-73.60,48.61,70.57,6.17,
2020-02-06 00:00:00 UTC,3.87,5.55,6.53,19687.77,-75.30,54.18,71.03,5.55,
2020-02-07 00:00:00 UTC,7.28,11.70,14.91,21127.00,-75.33,52.47,69.70,11.68,
2020-02-08 00:00:00 UTC,0.95,1.98,3.28,22567.00,-75.20,50.97,63.45,1.98,
2020-02-09 00:00:00 UTC,3.41,5.18,6.64,24006.36,-76.40,48.71,58.76,5.18,
2020-02-10 00:00:00 UTC,12.80,17.36,20.17,25447.00,-76.97,49.54,55.74,17.36,
2020-02-11 00:00:00 UTC,10.85,15.26,18.12,26887.88,-76.89,47.97,60.58,15.25,
2020-02-12 00:00:00 UTC,10.47,14.93,17.63,28329.41,-78.55,51.95,64.89,14.91,
2020-02-13 00:00:00 UTC,8.82,12.69,14.89,29767.00,-78.36,49.99,62.85,12.67,
2020-02-14 00:00:00 UTC,0.86,1.62,2.47,31212.75,-78.20,49.53,59.02,1.62,
2020-02-15 00:00:00 UTC,1.69,2.82,3.95,32648.00,-79.00,49.31,62.70,2.82,
2020-02-16 00:00:00 UTC,2.74,4.30,5.69,34088.00,-79.15,49.03,62.64,4.30,
2020-02-17 00:00:00 UTC,3.82,5.75,7.42,35528.00,-78.87,48.52,57.85,5.74,
2020-02-18 00:00:00 UTC,2.99,4.41,5.48,36968.00,-77.90,46.85,53.22,4.41,
2020-02-19 00:00:00 UTC,4.62,6.77,8.28,38405.12,-77.73,47.72,47.57,6.77,
2020-02-20 00:00:00 UTC,3.50,5.11,6.34,39848.00,-77.01,50.27,37.62,5.11,
2020-02-21 00:00:00 UTC,6.93,9.72,11.63,41288.00,-76.38,52.10,43.51,9.72,
2020-02-22 00:00:00 UTC,5.16,7.15,8.58,42728.00,-76.05,52.31,51.60,7.14,
2020-02-23 00:00:00 UTC,5.86,8.27,9.98,44168.00,-76.14,51.10,58.22,8.26,
2020-02-24 00:00:00 UTC,1.55,3.03,5.00,45608.00,-76.41,49.36,50.56,3.03,
2020-02-25 00:00:00 UTC,4.20,6.33,8.36,47048.72,-75.05,49.97,49.73,6.33,
2020-02-26 00:00:00 UTC,7.88,11.20,13.59,48487.65,-75.52,53.94,54.58,11.19,
2020-02-27 00:00:00 UTC,4.75,6.71,8.16,49928.00,-75.47,54.84,50.69,6.71,
2020-02-28 00:00:00 UTC,7.95,12.01,15.17,51368.00,-76.16,51.76,58.23,11.92,
2020-02-29 00:00:00 UTC,1.16,1.90,2.66,52808.00,-74.75,50.16,58.93,1.90,
2020-03-01 00:00:00 UTC,4.64,6.77,8.48,54248.00,-74.72,48.27,54.17,6.77,
2020-03-02 00:00:00 UTC,2.98,4.56,5.94,55687.67,-73.07,49.29,59.67,4.56,
2020-03-03 00:00:00 UTC,1.33,1.97,2.38,57128.91,-75.22,53.58,64.66,1.97,
2020-03-04 00:00:00 UTC,1.20,2.46,4.08,57407.77,-74.70,52.65,54.11,2.46,
2020-03-05 00:00:00 UTC,2.99,4.54,6.03,750.32,-76.27,53.99,42.47,4.54,
2020-03-06 00:00:00 UTC,2.14,3.14,3.83,2189.00,-74.62,50.17,62.80,3.03,
2020-03-07 00:00:00 UTC,8.73,13.02,15.85,3629.00,-74.20,48.51,61.36,12.95,
2020-03-08 00:00:00 UTC,5.09,7.14,8.46,1138.01,-74.88,47.93,58.27,7.14
2020-03-09 00:00:00 UTC,7.08,10.26,12.40,1754.00,-75.85,46.56,54.23,10.26,
2020-03-09 00:00:00 UTC,7.08,10.26,12.40,1754.00,-75.85,46.56,54.23,10.26
2020-03-10 00:00:00 UTC,3.77,5.34,6.40,3194.00,-76.77,49.69,44.60,5.34,
2020-03-10 00:00:00 UTC,3.77,5.34,6.40,3194.00,-76.77,49.69,44.60,5.34
2020-03-11 00:00:00 UTC,0.99,1.73,2.44,4634.00,-75.65,52.61,53.26,1.73,
2020-03-11 00:00:00 UTC,0.99,1.73,2.44,4634.00,-75.65,52.61,53.26,1.73
2020-03-12 00:00:00 UTC,2.34,3.71,5.05,6073.63,-77.92,51.38,49.72,3.71,
2020-03-12 00:00:00 UTC,2.34,3.71,5.05,6073.63,-77.92,51.38,49.72,3.71
2020-03-13 00:00:00 UTC,3.91,5.76,7.13,7514.00,-77.20,47.88,54.15,5.76,
2020-03-13 00:00:00 UTC,3.91,5.76,7.13,7514.00,-77.20,47.88,54.15,5.76
2020-03-14 00:00:00 UTC,1.59,2.54,3.41,8954.00,-76.64,42.74,51.48,2.54,
2020-03-14 00:00:00 UTC,1.59,2.54,3.41,8954.00,-76.64,42.74,51.48,2.54
2020-03-15 00:00:00 UTC,2.97,4.48,5.69,10394.86,-78.05,42.85,37.16,4.48,
2020-03-15 00:00:00 UTC,2.97,4.48,5.69,10394.86,-78.05,42.85,37.16,4.48
2020-03-16 00:00:00 UTC,2.95,4.45,5.67,11834.00,-76.84,48.64,38.42,4.45,
2020-03-16 00:00:00 UTC,2.95,4.45,5.67,11834.00,-76.84,48.64,38.42,4.45
2020-03-17 00:00:00 UTC,7.46,10.41,12.39,13274.00,-76.16,50.74,43.07,10.41,
2020-03-17 00:00:00 UTC,7.46,10.41,12.39,13274.00,-76.16,50.74,43.07,10.41
2020-03-18 00:00:00 UTC,11.46,16.13,19.55,14714.00,-75.78,51.61,50.99,16.13,
2020-03-18 00:00:00 UTC,11.46,16.13,19.55,14714.00,-75.78,51.61,50.99,16.13
2020-03-19 00:00:00 UTC,13.32,18.90,22.86,16154.41,-76.32,54.22,49.99,18.70,
2020-03-19 00:00:00 UTC,13.32,18.90,22.86,16154.41,-76.32,54.22,49.99,18.70
2020-03-20 00:00:00 UTC,14.31,19.89,23.66,17594.81,-75.21,56.62,48.85,19.88,
2020-03-20 00:00:00 UTC,14.31,19.89,23.66,17594.81,-75.21,56.62,48.85,19.88
2020-03-21 00:00:00 UTC,11.84,16.88,19.91,19035.00,-72.47,55.52,50.36,16.86,
2020-03-21 00:00:00 UTC,11.84,16.88,19.91,19035.00,-72.47,55.52,50.36,16.86
2020-03-22 00:00:00 UTC,18.94,26.13,30.45,20475.00,-74.26,54.43,51.07,25.01,
2020-03-22 00:00:00 UTC,18.94,26.13,30.45,20475.00,-74.26,54.43,51.07,25.01
2020-03-23 00:00:00 UTC,2.53,3.82,4.90,21911.62,-72.66,52.63,52.65,3.82,
2020-03-23 00:00:00 UTC,2.53,3.82,4.90,21911.62,-72.66,52.63,52.65,3.82
2020-03-24 00:00:00 UTC,1.44,2.24,2.86,23355.00,-72.77,51.17,54.65,2.46,
2020-03-24 00:00:00 UTC,1.44,2.24,2.86,23355.00,-72.77,51.17,54.65,2.46
2020-03-25 00:00:00 UTC,3.25,4.65,5.46,8845.29,-73.13,50.28,59.39,4.53,
2020-03-25 00:00:00 UTC,3.25,4.65,5.46,8845.29,-73.13,50.28,59.39,4.53
2020-03-26 00:00:00 UTC,5.22,7.32,8.74,1564.01,-73.61,50.73,55.40,7.32,
2020-03-26 00:00:00 UTC,5.22,7.32,8.74,1564.01,-73.61,50.73,55.40,7.32
2020-03-27 00:00:00 UTC,6.19,9.34,11.64,1698.27,-71.84,51.45,57.15,9.34,
2020-03-27 00:00:00 UTC,6.19,9.34,11.64,1698.27,-71.84,51.45,57.15,9.34
2020-03-28 00:00:00 UTC,2.34,3.47,4.17,1324.00,-73.62,54.83,58.83,3.38,
2020-03-28 00:00:00 UTC,2.34,3.47,4.17,1324.00,-73.62,54.83,58.83,3.38
2020-03-29 00:00:00 UTC,0.95,1.54,1.97,2764.00,-73.22,55.15,61.03,1.54,
2020-03-29 00:00:00 UTC,0.95,1.54,1.97,2764.00,-73.22,55.15,61.03,1.54
2020-03-30 00:00:00 UTC,0.61,1.19,1.78,4202.01,-72.81,52.34,57.03,1.19,
2020-03-30 00:00:00 UTC,0.61,1.19,1.78,4202.01,-72.81,52.34,57.03,1.19
2020-03-31 00:00:00 UTC,0.81,1.45,2.00,5643.00,-70.18,48.86,60.19,1.45,
2020-03-31 00:00:00 UTC,0.81,1.45,2.00,5643.00,-70.18,48.86,60.19,1.45
2020-04-01 00:00:00 UTC,1.51,2.37,3.02,7083.00,-69.86,49.63,57.27,2.37,
2020-04-01 00:00:00 UTC,1.51,2.37,3.02,7083.00,-69.86,49.63,57.27,2.37
2020-04-02 00:00:00 UTC,4.68,6.70,7.97,8523.00,-68.83,50.94,48.28,6.70,
2020-04-02 00:00:00 UTC,4.68,6.70,7.97,8523.00,-68.83,50.94,48.28,6.70
2020-04-03 00:00:00 UTC,2.62,3.87,4.69,9963.00,-68.22,49.67,49.39,3.72,
2020-04-03 00:00:00 UTC,2.62,3.87,4.69,9963.00,-68.22,49.67,49.39,3.72
2020-04-04 00:00:00 UTC,2.29,3.49,4.34,11403.00,-67.12,49.02,53.13,3.49,
2020-04-04 00:00:00 UTC,2.29,3.49,4.34,11403.00,-67.12,49.02,53.13,3.49
2020-04-05 00:00:00 UTC,4.42,6.85,8.60,12843.00,-67.25,53.71,46.94,5.95,
2020-04-05 00:00:00 UTC,4.42,6.85,8.60,12843.00,-67.25,53.71,46.94,5.95
2020-04-06 00:00:00 UTC,3.29,4.67,5.54,14283.31,-66.51,55.04,41.87,4.67,
2020-04-06 00:00:00 UTC,3.29,4.67,5.54,14283.31,-66.51,55.04,41.87,4.67
2020-04-07 00:00:00 UTC,4.13,5.95,7.26,15722.51,-64.90,56.50,43.39,5.95,
2020-04-07 00:00:00 UTC,4.13,5.95,7.26,15722.51,-64.90,56.50,43.39,5.95
2020-04-08 00:00:00 UTC,9.83,13.70,16.09,17164.00,-64.61,56.47,44.94,13.69,
2020-04-08 00:00:00 UTC,9.83,13.70,16.09,17164.00,-64.61,56.47,44.94,13.69
2020-04-09 00:00:00 UTC,9.29,12.82,14.85,18604.00,-65.43,59.68,40.48,12.82,
2020-04-09 00:00:00 UTC,9.29,12.82,14.85,18604.00,-65.43,59.68,40.48,12.82
2020-04-10 00:00:00 UTC,9.00,12.61,14.71,20044.00,-67.38,62.12,39.03,12.61,
2020-04-10 00:00:00 UTC,9.00,12.61,14.71,20044.00,-67.38,62.12,39.03,12.61
2020-04-11 00:00:00 UTC,3.30,5.18,6.89,21484.00,-65.09,58.57,49.08,5.18,
2020-04-11 00:00:00 UTC,3.30,5.18,6.89,21484.00,-65.09,58.57,49.08,5.18
2020-04-12 00:00:00 UTC,4.44,6.09,7.23,22924.00,-67.42,55.86,33.90,6.09,
2020-04-12 00:00:00 UTC,4.44,6.09,7.23,22924.00,-67.42,55.86,33.90,6.09
2020-04-13 00:00:00 UTC,3.53,5.10,6.09,24364.00,-67.07,56.98,27.23,5.10,
2020-04-13 00:00:00 UTC,3.53,5.10,6.09,24364.00,-67.07,56.98,27.23,5.10
2020-04-14 00:00:00 UTC,5.50,7.63,8.89,25804.00,-63.76,61.02,28.37,7.63,
2020-04-14 00:00:00 UTC,5.50,7.63,8.89,25804.00,-63.76,61.02,28.37,7.63
2020-04-15 00:00:00 UTC,2.02,2.97,3.61,27244.00,-64.50,61.22,48.80,2.97,
2020-04-15 00:00:00 UTC,2.02,2.97,3.61,27244.00,-64.50,61.22,48.80,2.97
2020-04-16 00:00:00 UTC,3.57,4.90,5.73,28684.00,-66.64,62.93,35.91,4.90,
2020-04-16 00:00:00 UTC,3.57,4.90,5.73,28684.00,-66.64,62.93,35.91,4.90
2020-04-17 00:00:00 UTC,4.39,5.81,6.64,30124.00,-68.15,64.06,28.43,5.81,
2020-04-17 00:00:00 UTC,4.39,5.81,6.64,30124.00,-68.15,64.06,28.43,5.81
2020-04-18 00:00:00 UTC,4.68,6.69,7.78,31564.00,-68.52,60.69,50.47,6.60,
2020-04-18 00:00:00 UTC,4.68,6.69,7.78,31564.00,-68.52,60.69,50.47,6.60
2020-04-19 00:00:00 UTC,1.96,2.78,3.24,33004.00,-65.18,60.55,49.60,2.78,
2020-04-19 00:00:00 UTC,1.96,2.78,3.24,33004.00,-65.18,60.55,49.60,2.78
2020-04-20 00:00:00 UTC,4.38,5.94,6.73,34444.00,-67.18,61.56,48.29,5.94,
2020-04-20 00:00:00 UTC,4.38,5.94,6.73,34444.00,-67.18,61.56,48.29,5.94
2020-04-21 00:00:00 UTC,1.90,2.67,3.10,35884.00,-68.80,60.29,49.11,2.67,
2020-04-21 00:00:00 UTC,1.90,2.67,3.10,35884.00,-68.80,60.29,49.11,2.67
2020-04-22 00:00:00 UTC,2.62,3.71,4.37,37324.00,-66.22,58.96,56.85,3.71,
2020-04-22 00:00:00 UTC,2.62,3.71,4.37,37324.00,-66.22,58.96,56.85,3.71
2020-04-23 00:00:00 UTC,4.34,5.92,6.67,38764.00,-65.95,58.29,66.26,5.77,
2020-04-23 00:00:00 UTC,4.34,5.92,6.67,38764.00,-65.95,58.29,66.26,5.77
2020-04-24 00:00:00 UTC,3.27,4.65,5.43,40203.07,-68.65,59.73,60.38,4.65,
2020-04-24 00:00:00 UTC,3.27,4.65,5.43,40203.07,-68.65,59.73,60.38,4.65
2020-04-25 00:00:00 UTC,6.61,8.86,10.12,41644.00,-67.06,62.59,56.55,8.86,
2020-04-25 00:00:00 UTC,6.61,8.86,10.12,41644.00,-67.06,62.59,56.55,8.86
2020-04-26 00:00:00 UTC,2.04,3.75,5.75,43084.89,-65.51,60.08,46.90,3.75,
2020-04-26 00:00:00 UTC,2.04,3.75,5.75,43084.89,-65.51,60.08,46.90,3.75
2020-04-27 00:00:00 UTC,1.79,2.91,3.87,44524.75,-67.07,61.25,52.27,2.91,
2020-04-27 00:00:00 UTC,1.79,2.91,3.87,44524.75,-67.07,61.25,52.27,2.91
2020-04-28 00:00:00 UTC,2.99,4.65,6.15,45964.00,-66.18,60.38,52.53,4.64,
2020-04-28 00:00:00 UTC,2.99,4.65,6.15,45964.00,-66.18,60.38,52.53,4.64
2020-04-29 00:00:00 UTC,4.47,6.49,7.94,47404.00,-65.20,61.95,54.33,6.46,
2020-04-29 00:00:00 UTC,4.47,6.49,7.94,47404.00,-65.20,61.95,54.33,6.46
2020-04-30 00:00:00 UTC,0.67,1.38,2.11,48842.74,-65.19,61.07,53.56,1.38,
2020-04-30 00:00:00 UTC,0.67,1.38,2.11,48842.74,-65.19,61.07,53.56,1.38
2020-05-01 00:00:00 UTC,1.35,2.25,3.07,50284.00,-65.31,59.82,46.93,2.25,
2020-05-01 00:00:00 UTC,1.35,2.25,3.07,50284.00,-65.31,59.82,46.93,2.25
2020-05-02 00:00:00 UTC,4.66,6.65,7.85,51724.00,-67.85,62.77,51.16,6.65,
2020-05-02 00:00:00 UTC,4.66,6.65,7.85,51724.00,-67.85,62.77,51.16,6.65
2020-05-03 00:00:00 UTC,1.05,1.86,2.52,53164.00,-70.69,56.39,51.99,1.85,
2020-05-03 00:00:00 UTC,1.05,1.86,2.52,53164.00,-70.69,56.39,51.99,1.85
2020-05-04 00:00:00 UTC,2.37,3.54,4.38,54604.00,-66.94,58.42,46.23,3.54,
2020-05-04 00:00:00 UTC,2.37,3.54,4.38,54604.00,-66.94,58.42,46.23,3.54
2020-05-05 00:00:00 UTC,3.22,4.62,5.42,56044.00,-63.82,64.45,43.24,4.62,
2020-05-05 00:00:00 UTC,3.22,4.62,5.42,56044.00,-63.82,64.45,43.24,4.62
2020-05-06 00:00:00 UTC,1.20,1.99,2.55,57484.00,-64.06,63.12,47.30,1.97,
2020-05-06 00:00:00 UTC,1.20,1.99,2.55,57484.00,-64.06,63.12,47.30,1.97
2020-05-07 00:00:00 UTC,2.13,3.43,4.59,58924.00,-72.81,60.72,47.01,3.43,
2020-05-07 00:00:00 UTC,2.13,3.43,4.59,58924.00,-72.81,60.72,47.01,3.43
2020-05-08 00:00:00 UTC,2.66,3.81,4.52,60364.00,-73.98,66.86,40.17,3.81,
2020-05-08 00:00:00 UTC,2.66,3.81,4.52,60364.00,-73.98,66.86,40.17,3.81
2020-05-09 00:00:00 UTC,1.99,2.76,3.17,61804.00,-73.12,77.02,25.87,2.75,
2020-05-09 00:00:00 UTC,1.99,2.76,3.17,61804.00,-73.12,77.02,25.87,2.75
2020-05-10 00:00:00 UTC,3.31,4.31,4.81,63244.00,-72.47,79.57,25.28,4.31,
2020-05-10 00:00:00 UTC,3.31,4.31,4.81,63244.00,-72.47,79.57,25.28,4.31
2020-05-11 00:00:00 UTC,6.06,7.73,8.58,64684.00,-72.16,76.17,34.30,7.73,
2020-05-11 00:00:00 UTC,6.06,7.73,8.58,64684.00,-72.16,76.17,34.30,7.73
2020-05-12 00:00:00 UTC,5.81,8.24,9.61,66124.00,-71.77,64.48,53.17,8.24,
2020-05-12 00:00:00 UTC,5.81,8.24,9.61,66124.00,-71.77,64.48,53.17,8.24
2020-05-13 00:00:00 UTC,1.31,2.06,2.62,67564.00,-71.53,63.15,51.92,2.03,
2020-05-13 00:00:00 UTC,1.31,2.06,2.62,67564.00,-71.53,63.15,51.92,2.03
2020-05-14 00:00:00 UTC,1.21,1.83,2.26,69004.00,-71.13,63.79,48.30,1.83,
2020-05-14 00:00:00 UTC,1.21,1.83,2.26,69004.00,-71.13,63.79,48.30,1.83
2020-05-15 00:00:00 UTC,1.17,1.76,2.17,70444.00,-70.69,65.19,46.44,1.76,
2020-05-15 00:00:00 UTC,1.17,1.76,2.17,70444.00,-70.69,65.19,46.44,1.76
2020-05-16 00:00:00 UTC,4.43,5.83,6.56,21079.95,-70.38,66.26,50.09,5.83,
2020-05-16 00:00:00 UTC,4.43,5.83,6.56,21079.95,-70.38,66.26,50.09,5.83
2020-05-17 00:00:00 UTC,2.34,3.40,4.08,1741.00,-70.85,64.49,59.73,3.40,
2020-05-17 00:00:00 UTC,2.34,3.40,4.08,1741.00,-70.85,64.49,59.73,3.40
2020-05-18 00:00:00 UTC,2.20,3.29,4.08,3181.00,-70.35,64.21,51.28,3.29,
2020-05-18 00:00:00 UTC,2.20,3.29,4.08,3181.00,-70.35,64.21,51.28,3.29
2020-05-19 00:00:00 UTC,1.83,2.61,3.11,4621.00,-70.18,65.89,48.70,2.61,
2020-05-19 00:00:00 UTC,1.83,2.61,3.11,4621.00,-70.18,65.89,48.70,2.61
2020-05-20 00:00:00 UTC,2.40,3.45,4.14,6061.00,-68.19,62.64,54.99,3.45,
2020-05-20 00:00:00 UTC,2.40,3.45,4.14,6061.00,-68.19,62.64,54.99,3.45
2020-05-21 00:00:00 UTC,0.85,1.38,1.80,7501.00,-61.39,59.05,58.54,1.38,
2020-05-21 00:00:00 UTC,0.85,1.38,1.80,7501.00,-61.39,59.05,58.54,1.38
2020-05-22 00:00:00 UTC,1.00,1.72,2.41,8941.00,-61.38,58.64,55.94,1.72,
2020-05-22 00:00:00 UTC,1.00,1.72,2.41,8941.00,-61.38,58.64,55.94,1.72
2020-05-23 00:00:00 UTC,2.12,3.23,4.09,10381.00,-61.38,60.08,58.68,3.23,
2020-05-23 00:00:00 UTC,2.12,3.23,4.09,10381.00,-61.38,60.08,58.68,3.23
2020-05-24 00:00:00 UTC,6.16,8.34,9.53,11821.00,-61.35,64.75,47.16,8.34,
2020-05-24 00:00:00 UTC,6.16,8.34,9.53,11821.00,-61.35,64.75,47.16,8.34
2020-05-25 00:00:00 UTC,5.21,7.07,8.04,13261.54,-61.83,66.31,54.93,7.06,
2020-05-25 00:00:00 UTC,5.21,7.07,8.04,13261.54,-61.83,66.31,54.93,7.06
2020-05-26 00:00:00 UTC,2.19,3.14,3.65,14701.67,-63.61,62.54,62.15,3.14,
