created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-01-01 00:00:00 UTC,0.52,1.20,1.80,26609.00,-69.29,56.80,67.89,1.20,
2020-01-02 00:00:00 UTC,0.93,2.65,4.36,2525.72,-70.16,49.63,67.90,2.65,
2020-01-03 00:00:00 UTC,1.72,3.01,3.72,2061.00,-69.95,54.37,67.43,3.01,
2020-01-04 00:00:00 UTC,0.71,1.89,2.99,2825.69,-70.25,52.73,59.13,1.89,
2020-01-05 00:00:00 UTC,1.09,2.21,2.87,965.57,-68.48,49.82,63.45,2.21,
2020-01-06 00:00:00 UTC,0.34,1.09,1.75,2405.00,-70.13,50.99,68.58,1.09,
2020-01-07 00:00:00 UTC,0.24,0.54,0.71,3845.00,-69.71,56.19,70.74,0.54,
2020-01-08 00:00:00 UTC,0.26,0.99,1.72,5285.14,-70.06,51.83,61.68,0.99,
2020-01-09 00:00:00 UTC,7.45,11.97,12.95,6725.00,-65.77,44.67,65.68,11.95,
2020-01-10 00:00:00 UTC,5.23,9.44,10.25,8132.00,-66.20,44.50,68.67,9.36,
2020-01-11 00:00:00 UTC,0.62,1.63,2.47,9605.00,-66.35,49.83,69.61,1.63,
2020-01-12 00:00:00 UTC,0.73,1.74,2.49,11045.00,-67.02,47.74,65.04,1.74,
2020-01-13 00:00:00 UTC,2.69,5.31,6.83,12487.99,-69.66,41.78,64.57,5.31,
2020-01-14 00:00:00 UTC,4.27,7.35,8.34,13925.00,-65.77,36.03,67.51,7.35,
2020-01-15 00:00:00 UTC,0.88,1.91,2.48,15365.00,-65.18,40.13,55.51,1.91,
2020-01-16 00:00:00 UTC,0.36,1.17,1.68,16805.00,-65.44,46.10,52.67,1.17,
2020-01-17 00:00:00 UTC,3.75,6.39,7.44,18245.00,-67.14,44.54,60.69,6.39,
2020-01-18 00:00:00 UTC,0.75,1.53,1.82,19685.00,-68.98,47.78,63.05,1.53,
2020-01-19 00:00:00 UTC,1.78,3.07,3.44,21125.00,-70.93,53.97,57.21,3.07,
2020-01-20 00:00:00 UTC,4.02,6.57,7.32,22565.00,-73.17,55.91,55.46,6.57,
2020-01-21 00:00:00 UTC,2.59,4.32,4.86,24005.00,-69.66,53.92,59.86,4.32,
2020-01-22 00:00:00 UTC,0.40,1.39,2.28,25445.15,-68.48,50.66,68.86,1.39,
2020-01-23 00:00:00 UTC,1.52,2.65,3.09,26878.47,-69.45,55.94,71.48,2.65,
2020-01-24 00:00:00 UTC,0.51,1.28,1.85,28325.00,-68.59,56.32,71.71,1.28,
2020-01-25 00:00:00 UTC,2.62,4.44,5.11,29765.48,-70.10,54.23,72.04,4.44,
2020-01-26 00:00:00 UTC,1.94,3.43,4.23,31206.99,-69.76,54.87,68.09,3.43,
2020-01-27 00:00:00 UTC,0.63,1.80,2.89,32644.60,-70.99,53.65,61.81,1.80,
2020-01-28 00:00:00 UTC,0.31,0.86,1.25,34085.00,-69.46,53.10,69.10,0.86,
2020-01-29 00:00:00 UTC,2.45,4.12,4.71,35525.00,-67.60,54.41,69.39,4.12,
2020-01-30 00:00:00 UTC,7.22,12.96,15.57,36965.00,-71.93,51.95,71.66,12.95,
2020-01-31 00:00:00 UTC,1.48,2.52,2.91,38405.00,-73.42,56.69,74.37,2.52,
2020-02-01 00:00:00 UTC,0.30,0.97,1.66,39845.00,-70.49,56.56,72.61,0.97,
2020-02-02 00:00:00 UTC,1.83,3.68,4.85,41285.00,-69.22,45.38,63.88,3.68,
2020-02-03 00:00:00 UTC,10.58,12.89,13.72,42725.00,-68.53,46.28,59.61,10.37,
2020-02-04 00:00:00 UTC,4.73,7.71,8.59,44165.00,-70.31,42.75,63.56,7.71,
2020-02-05 00:00:00 UTC,3.56,5.55,6.14,45605.00,-71.57,49.30,72.54,5.55,
2020-02-06 00:00:00 UTC,3.36,5.62,6.93,47045.00,-73.97,54.13,74.56,5.61,
2020-02-07 00:00:00 UTC,7.68,14.62,16.54,48484.52,-73.40,52.87,73.15,14.25,
2020-02-08 00:00:00 UTC,0.69,2.22,3.75,49925.00,-69.52,51.68,66.46,2.21,
2020-02-09 00:00:00 UTC,4.15,7.39,9.48,51365.00,-71.18,48.53,64.26,7.23,
2020-02-10 00:00:00 UTC,11.67,18.33,19.87,43924.33,-71.68,48.50,62.69,18.24,
2020-02-11 00:00:00 UTC,9.79,15.99,17.58,961.00,-70.97,48.00,64.83,15.95,
2020-02-12 00:00:00 UTC,10.02,16.17,17.65,2403.00,-70.55,52.59,67.71,16.13,
2020-02-13 00:00:00 UTC,7.81,12.38,13.33,3841.00,-69.95,50.54,66.27,12.35,
2020-02-14 00:00:00 UTC,0.56,1.62,2.58,3305.70,-70.34,50.80,61.73,1.62,
2020-02-15 00:00:00 UTC,1.04,2.39,3.40,1233.00,-69.15,50.43,64.58,2.39,
2020-02-16 00:00:00 UTC,1.13,2.60,3.74,2673.00,-70.22,49.97,65.70,2.60,
2020-02-17 00:00:00 UTC,2.79,5.12,6.43,4113.00,-69.82,49.21,61.10,5.12,
2020-02-18 00:00:00 UTC,2.72,4.61,5.30,5553.00,-69.73,47.24,56.59,4.61,
2020-02-19 00:00:00 UTC,3.63,6.36,7.22,6993.00,-71.06,48.86,50.48,6.36,
2020-02-20 00:00:00 UTC,2.41,4.16,4.76,8433.00,-71.10,52.63,38.55,4.16,
2020-02-21 00:00:00 UTC,5.93,9.57,10.69,9872.99,-69.61,52.80,47.52,9.57,
2020-02-22 00:00:00 UTC,4.49,7.22,8.12,11313.00,-71.69,52.11,55.49,7.22,
2020-02-23 00:00:00 UTC,5.11,8.29,9.46,12661.77,-71.78,51.81,61.68,8.28,
2020-02-24 00:00:00 UTC,1.31,3.82,6.32,730.10,-69.95,50.71,52.39,3.82,
2020-02-25 00:00:00 UTC,3.20,6.11,7.95,2167.10,-69.67,50.00,53.33,6.11,
2020-02-26 00:00:00 UTC,6.46,10.72,12.24,3607.00,-71.79,54.02,58.61,10.72,
2020-02-27 00:00:00 UTC,3.39,5.68,6.65,5045.48,-72.00,55.51,53.95,5.67,
2020-02-28 00:00:00 UTC,7.27,12.80,14.71,6487.00,-73.07,51.47,62.71,12.57,
2020-02-29 00:00:00 UTC,0.50,1.34,2.06,7926.04,-73.27,51.27,61.00,1.34,
2020-03-01 00:00:00 UTC,4.66,7.72,8.63,9367.09,-73.32,49.36,56.76,7.61,
2020-03-02 00:00:00 UTC,2.62,4.83,5.94,10808.49,-71.42,49.89,62.32,4.82,
2020-03-03 00:00:00 UTC,0.74,1.31,1.55,12247.50,-73.82,55.59,64.89,1.31,
2020-03-04 00:00:00 UTC,0.89,2.88,4.78,13065.08,-72.68,53.69,56.32,2.88,
2020-03-05 00:00:00 UTC,2.17,4.31,5.63,783.00,-71.65,54.02,47.00,4.31,
2020-03-06 00:00:00 UTC,2.01,3.28,3.68,1156.57,-69.46,51.19,65.24,3.26,
2020-03-07 00:00:00 UTC,9.22,15.71,16.90,1333.00,-66.99,49.22,65.48,15.31,
2020-03-08 00:00:00 UTC,4.36,6.83,7.41,2771.85,-71.16,48.94,61.05,6.83
2020-03-09 00:00:00 UTC,6.97,12.16,14.98,4213.14,-69.30,46.70,58.37,12.14,
2020-03-09 00:00:00 UTC,6.97,12.16,14.98,4213.14,-69.30,46.70,58.37,12.14
2020-03-10 00:00:00 UTC,3.17,5.13,5.72,5653.01,-69.35,49.56,49.80,5.13,
2020-03-10 00:00:00 UTC,3.17,5.13,5.72,5653.01,-69.35,49.56,49.80,5.13
2020-03-11 00:00:00 UTC,0.51,1.41,2.13,7094.49,-68.88,54.59,54.84,1.41,
2020-03-11 00:00:00 UTC,0.51,1.41,2.13,7094.49,-68.88,54.59,54.84,1.41
2020-03-12 00:00:00 UTC,1.69,3.55,4.85,8534.49,-68.62,51.07,54.94,3.55,
2020-03-12 00:00:00 UTC,1.69,3.55,4.85,8534.49,-68.62,51.07,54.94,3.55
