created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-01-01 00:00:00 UTC,1.67,2.22,2.62,41464.00,-72.72,53.92,73.73,2.19,
2020-01-02 00:00:00 UTC,1.58,2.67,3.60,42904.00,-73.45,48.22,66.32,2.67,
2020-01-03 00:00:00 UTC,8.70,10.78,11.70,44344.00,-72.85,51.84,73.77,10.64,
2020-01-04 00:00:00 UTC,1.87,2.90,3.78,45784.00,-72.37,48.53,67.08,2.90,
2020-01-05 00:00:00 UTC,3.31,4.34,4.97,47224.00,-72.72,46.56,69.39,4.32,
2020-01-06 00:00:00 UTC,7.99,9.99,10.76,48664.00,-72.45,47.38,76.95,9.83,
2020-01-07 00:00:00 UTC,7.78,9.50,10.06,50104.00,-70.52,52.97,78.15,9.44,
2020-01-08 00:00:00 UTC,0.95,1.54,2.05,51544.00,-69.84,47.68,68.64,1.54,
2020-01-09 00:00:00 UTC,12.57,17.56,19.68,52984.00,-69.89,40.93,72.73,17.53,
2020-01-10 00:00:00 UTC,11.26,16.16,18.25,54424.00,-70.15,41.34,74.98,16.14,
2020-01-11 00:00:00 UTC,4.32,5.70,6.57,55864.00,-69.79,47.11,73.94,5.69,
2020-01-12 00:00:00 UTC,2.39,3.14,3.65,57304.00,-69.66,44.31,71.03,3.14,
2020-01-13 00:00:00 UTC,2.58,3.85,4.85,58744.00,-69.87,39.28,66.67,3.85,
2020-01-14 00:00:00 UTC,7.00,9.45,10.68,60184.00,-69.05,35.46,66.32,9.39,
2020-01-15 00:00:00 UTC,2.99,3.94,4.55,61624.00,-69.43,37.83,55.68,3.94,
2020-01-16 00:00:00 UTC,1.72,2.54,3.07,63065.11,-70.28,43.44,53.95,2.54,
2020-01-17 00:00:00 UTC,6.48,8.86,10.26,64504.00,-70.45,41.46,65.60,8.86,
2020-01-18 00:00:00 UTC,2.52,3.47,3.98,65944.00,-69.64,45.48,66.49,3.46,
2020-01-19 00:00:00 UTC,5.59,7.27,8.03,67384.00,-69.37,51.56,61.11,7.27,
2020-01-20 00:00:00 UTC,10.20,13.29,14.61,68824.00,-69.49,51.90,64.38,13.29,
2020-01-21 00:00:00 UTC,10.92,13.97,15.22,70264.00,-69.65,49.80,69.49,13.90,
2020-01-22 00:00:00 UTC,6.73,8.59,9.46,29847.83,-69.65,48.06,73.95,8.51,
2020-01-23 00:00:00 UTC,6.16,7.91,8.72,1561.07,-69.80,54.17,77.26,7.91,
2020-01-24 00:00:00 UTC,4.97,6.35,6.95,3001.00,-70.25,53.43,79.46,6.33,
2020-01-25 00:00:00 UTC,6.56,8.65,9.52,4441.00,-69.63,51.92,78.51,8.58,
2020-01-26 00:00:00 UTC,4.45,5.94,6.67,5881.00,-69.74,52.25,73.94,5.89,
2020-01-27 00:00:00 UTC,3.36,4.53,5.26,7321.00,-70.50,50.66,67.13,4.47,
2020-01-28 00:00:00 UTC,2.22,3.00,3.47,8760.78,-70.53,51.15,73.89,3.00,
2020-01-29 00:00:00 UTC,5.45,7.10,7.87,10201.00,-70.92,51.91,74.75,7.09,
2020-01-30 00:00:00 UTC,11.87,17.48,19.75,11641.00,-74.47,50.88,73.82,17.38,
2020-01-31 00:00:00 UTC,8.71,10.98,11.78,13081.00,-75.14,53.58,83.08,10.81,
2020-02-01 00:00:00 UTC,3.80,4.85,5.36,14521.00,-74.30,54.80,76.05,4.82,
2020-02-02 00:00:00 UTC,2.85,4.16,5.01,15961.00,-74.55,43.27,63.42,4.16,
2020-02-03 00:00:00 UTC,8.05,10.90,12.14,17401.00,-74.23,44.05,62.78,10.82,
2020-02-04 00:00:00 UTC,10.14,13.43,14.94,18841.00,-73.37,40.19,67.24,13.41,
2020-02-05 00:00:00 UTC,7.54,9.54,10.38,20281.00,-69.05,46.60,79.62,9.48,
2020-02-06 00:00:00 UTC,3.84,5.30,5.95,21721.00,-69.07,52.81,79.93,5.30,
2020-02-07 00:00:00 UTC,6.75,10.12,11.49,23161.00,-68.14,50.44,79.08,10.11,
2020-02-08 00:00:00 UTC,1.93,3.04,3.94,24601.00,-66.81,48.42,72.37,3.03,
2020-02-09 00:00:00 UTC,4.50,6.25,7.19,26041.00,-66.73,47.03,65.05,6.25,
2020-02-10 00:00:00 UTC,14.74,19.12,20.94,27481.00,-67.20,47.22,62.86,19.05,
2020-02-11 00:00:00 UTC,15.06,20.34,22.59,28921.00,-67.52,44.83,68.52,20.25,
2020-02-12 00:00:00 UTC,12.22,17.19,19.14,30361.00,-68.20,51.13,71.15,17.17,
2020-02-13 00:00:00 UTC,11.02,14.93,16.59,31801.00,-67.72,47.56,70.98,14.92,
2020-02-14 00:00:00 UTC,1.26,2.07,2.73,33241.00,-67.35,48.07,64.82,2.07,
2020-02-15 00:00:00 UTC,4.45,5.98,6.86,34681.00,-67.89,46.77,71.45,5.97,
2020-02-16 00:00:00 UTC,2.17,3.10,3.74,36121.00,-67.46,46.69,70.58,3.10,
2020-02-17 00:00:00 UTC,4.66,6.59,7.63,37561.00,-67.40,46.61,62.74,6.59,
2020-02-18 00:00:00 UTC,3.71,5.02,5.71,39001.30,-67.42,45.21,57.81,5.00,
2020-02-19 00:00:00 UTC,7.42,9.91,11.16,40441.00,-68.31,45.62,55.02,9.91,
2020-02-20 00:00:00 UTC,7.66,9.77,10.88,41881.00,-69.10,48.70,40.38,9.50,
2020-02-21 00:00:00 UTC,13.03,17.03,18.90,43321.00,-69.22,48.42,50.89,16.92,
2020-02-22 00:00:00 UTC,7.18,9.15,10.06,44761.00,-69.03,50.20,57.61,8.86,
2020-02-23 00:00:00 UTC,8.32,10.96,12.17,46201.00,-68.89,48.72,66.03,10.96,
2020-02-24 00:00:00 UTC,1.99,3.39,4.73,47641.00,-68.53,47.78,55.69,3.39,
2020-02-25 00:00:00 UTC,6.75,9.34,10.87,49081.00,-68.10,49.00,51.26,9.34,
2020-02-26 00:00:00 UTC,6.32,8.60,9.67,50521.00,-68.48,53.83,58.04,8.60,
2020-02-27 00:00:00 UTC,6.73,8.87,9.97,51961.00,-68.62,53.44,54.87,1.44,
2020-02-28 00:00:00 UTC,10.37,14.80,17.00,53401.00,-68.08,48.94,65.61,14.76,
2020-02-29 00:00:00 UTC,3.77,4.93,5.54,54841.07,-68.48,47.69,67.07,4.90,
2020-03-01 00:00:00 UTC,9.83,13.35,15.03,56281.00,-68.66,44.45,65.85,13.35,
2020-03-02 00:00:00 UTC,7.15,9.28,10.29,57721.00,-68.43,47.37,65.37,9.20,
2020-03-03 00:00:00 UTC,5.28,6.44,6.81,59161.02,-69.71,51.53,72.29,6.35,
2020-03-04 00:00:00 UTC,3.43,5.09,6.27,57873.81,-73.62,50.53,61.01,4.98,
2020-03-05 00:00:00 UTC,5.86,8.21,9.58,785.00,-74.10,50.78,50.53,8.21,
2020-03-06 00:00:00 UTC,0.84,1.25,1.50,2225.00,-73.84,48.43,69.60,1.25,
2020-03-07 00:00:00 UTC,8.00,11.50,12.96,3664.29,-75.24,46.55,68.89,11.45,
2020-03-08 00:00:00 UTC,5.25,7.17,7.98,5105.00,-74.67,47.11,63.54,7.17
2020-03-09 00:00:00 UTC,10.54,14.45,16.07,6545.95,-74.45,45.85,57.62,14.44,
2020-03-09 00:00:00 UTC,10.54,14.45,16.07,6545.95,-74.45,45.85,57.62,14.44
2020-03-10 00:00:00 UTC,6.67,8.78,9.84,7985.00,-74.28,46.62,51.26,8.75,
2020-03-10 00:00:00 UTC,6.67,8.78,9.84,7985.00,-74.28,46.62,51.26,8.75
2020-03-11 00:00:00 UTC,1.95,2.67,3.11,9425.05,-75.01,51.38,59.12,2.67,
2020-03-11 00:00:00 UTC,1.95,2.67,3.11,9425.05,-75.01,51.38,59.12,2.67
2020-03-12 00:00:00 UTC,4.58,6.33,7.39,10865.00,-74.34,50.34,53.12,6.32,
2020-03-12 00:00:00 UTC,4.58,6.33,7.39,10865.00,-74.34,50.34,53.12,6.32
2020-03-13 00:00:00 UTC,5.38,7.30,8.37,12305.00,-75.03,45.82,59.55,7.30,
2020-03-13 00:00:00 UTC,5.38,7.30,8.37,12305.00,-75.03,45.82,59.55,7.30
2020-03-14 00:00:00 UTC,1.81,2.68,3.30,13745.35,-74.36,42.62,53.33,2.68,
2020-03-14 00:00:00 UTC,1.81,2.68,3.30,13745.35,-74.36,42.62,53.33,2.68
2020-03-15 00:00:00 UTC,2.77,3.83,4.48,15185.00,-73.57,41.95,39.43,3.83,
2020-03-15 00:00:00 UTC,2.77,3.83,4.48,15185.00,-73.57,41.95,39.43,3.83
2020-03-16 00:00:00 UTC,5.02,6.79,7.71,16625.00,-73.60,47.69,41.77,6.75,
2020-03-16 00:00:00 UTC,5.02,6.79,7.71,16625.00,-73.60,47.69,41.77,6.75
2020-03-17 00:00:00 UTC,12.33,16.32,18.13,18065.00,-73.84,48.61,47.44,16.14,
2020-03-17 00:00:00 UTC,12.33,16.32,18.13,18065.00,-73.84,48.61,47.44,16.14
2020-03-18 00:00:00 UTC,15.69,21.33,23.87,19505.00,-73.39,49.93,55.15,21.14,
2020-03-18 00:00:00 UTC,15.69,21.33,23.87,19505.00,-73.39,49.93,55.15,21.14
2020-03-19 00:00:00 UTC,20.08,27.55,30.79,20945.27,-73.40,52.86,53.06,26.29,
2020-03-19 00:00:00 UTC,20.08,27.55,30.79,20945.27,-73.40,52.86,53.06,26.29
2020-03-20 00:00:00 UTC,19.26,26.28,29.15,22385.00,-73.32,56.02,53.12,24.77,
2020-03-20 00:00:00 UTC,19.26,26.28,29.15,22385.00,-73.32,56.02,53.12,24.77
2020-03-21 00:00:00 UTC,14.33,19.55,21.52,23825.00,-73.19,54.84,53.16,19.26,
2020-03-21 00:00:00 UTC,14.33,19.55,21.52,23825.00,-73.19,54.84,53.16,19.26
2020-03-22 00:00:00 UTC,27.63,38.43,42.50,25265.00,-73.87,52.07,57.28,33.23,
2020-03-22 00:00:00 UTC,27.63,38.43,42.50,25265.00,-73.87,52.07,57.28,33.23
2020-03-23 00:00:00 UTC,3.45,4.77,5.56,26704.14,-74.01,50.21,60.30,4.76,
2020-03-23 00:00:00 UTC,3.45,4.77,5.56,26704.14,-74.01,50.21,60.30,4.76
2020-03-24 00:00:00 UTC,2.79,3.64,4.09,28145.00,-75.01,49.69,60.78,3.64,
2020-03-24 00:00:00 UTC,2.79,3.64,4.09,28145.00,-75.01,49.69,60.78,3.64
2020-03-25 00:00:00 UTC,3.29,4.40,4.89,20802.62,-75.86,49.03,65.00,4.40,
