created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-01-30 00:00:00 UTC,6.01,17.93,37.36,37.26,-53.19,76.20,19.90,12.68,
2020-01-31 00:00:00 UTC,0.48,2.20,2.90,2.00,-50.00,65.00,26.00,2.20,
2020-02-01 00:00:00 UTC,,,,,,,,,
2020-02-02 00:00:00 UTC,,,,,,,,,
2020-02-03 00:00:00 UTC,2.01,3.93,6.41,77.69,-50.13,73.06,29.03,3.61,
2020-02-04 00:00:00 UTC,0.03,0.18,0.38,879.00,-63.26,63.81,34.58,0.18,
2020-02-05 00:00:00 UTC,0.06,0.11,0.16,730.02,-49.03,69.85,28.80,0.11,
2020-02-06 00:00:00 UTC,0.01,0.14,0.43,2009.00,-51.52,73.59,29.51,0.14,
2020-02-07 00:00:00 UTC,0.04,0.20,0.46,2641.46,-53.63,72.83,31.85,0.20,
2020-02-08 00:00:00 UTC,0.02,0.12,0.34,497.11,-66.42,71.28,33.60,0.12,
2020-02-09 00:00:00 UTC,1.40,3.60,6.95,1053.13,-64.05,63.85,38.48,2.91,
2020-02-10 00:00:00 UTC,2.36,3.79,4.52,1161.00,-62.22,45.65,58.77,3.79,
2020-02-11 00:00:00 UTC,4.15,6.55,7.81,2601.00,-62.71,45.84,59.20,6.55,
2020-02-12 00:00:00 UTC,1.47,2.51,2.97,4041.00,-62.59,50.86,62.43,2.51,
2020-02-13 00:00:00 UTC,1.23,2.19,2.57,5481.00,-62.86,48.84,60.18,2.18,
2020-02-14 00:00:00 UTC,0.34,1.12,2.20,6921.00,-63.10,48.39,59.67,1.12,
2020-02-15 00:00:00 UTC,0.22,0.73,1.44,8361.00,-63.20,48.75,60.88,0.73,
2020-02-16 00:00:00 UTC,0.16,0.80,1.75,9801.00,-63.28,47.61,63.11,0.80,
2020-02-17 00:00:00 UTC,0.54,1.52,2.56,11241.00,-63.54,45.70,61.33,1.52,
2020-02-18 00:00:00 UTC,0.75,1.46,1.90,12681.00,-61.56,42.02,57.45,1.46,
2020-02-19 00:00:00 UTC,0.68,1.53,1.96,14121.00,-61.51,43.63,51.46,1.53,
2020-02-20 00:00:00 UTC,0.66,1.52,1.96,15561.00,-61.58,47.74,38.58,1.52,
2020-02-21 00:00:00 UTC,1.41,2.57,3.14,17001.00,-62.78,48.97,43.46,2.57,
2020-02-22 00:00:00 UTC,3.06,4.98,5.90,18444.54,-66.29,50.24,50.18,4.98,
2020-02-23 00:00:00 UTC,0.85,1.74,2.60,19881.00,-66.41,49.52,58.14,1.74,
2020-02-24 00:00:00 UTC,0.65,2.38,5.23,21321.00,-67.05,48.05,51.01,2.38,
2020-02-25 00:00:00 UTC,1.02,2.42,4.05,22761.00,-69.13,47.43,49.71,2.42,
2020-02-26 00:00:00 UTC,1.64,3.01,3.82,24201.00,-67.47,52.90,55.30,3.01,
2020-02-27 00:00:00 UTC,0.77,1.65,2.32,21737.85,-68.02,50.67,56.78,1.65,
2020-02-28 00:00:00 UTC,2.55,4.52,5.63,937.00,-68.30,50.06,53.50,4.52,
2020-02-29 00:00:00 UTC,0.32,0.89,1.62,2377.00,-67.44,49.40,59.18,0.89,
2020-03-01 00:00:00 UTC,0.89,1.99,2.76,3817.00,-67.35,45.52,59.68,1.99,
2020-03-02 00:00:00 UTC,1.44,2.83,3.85,5257.00,-67.43,48.12,60.88,2.83,
2020-03-03 00:00:00 UTC,0.06,0.30,0.45,6697.00,-66.86,53.34,64.19,0.30,
2020-03-04 00:00:00 UTC,0.53,1.93,4.46,7708.41,-66.07,50.76,58.82,1.93,
2020-03-05 00:00:00 UTC,0.52,1.45,2.51,791.24,-65.19,51.41,47.88,1.45,
2020-03-06 00:00:00 UTC,0.17,0.41,0.59,2231.20,-66.41,50.65,57.47,0.41,
2020-03-07 00:00:00 UTC,4.35,7.78,9.34,3671.00,-66.79,47.59,61.98,7.78,
2020-03-08 00:00:00 UTC,2.01,3.41,4.09,5111.00,-65.97,46.10,59.97,3.41
2020-03-09 00:00:00 UTC,2.49,4.20,4.88,6551.00,-65.51,43.77,54.63,4.20,
2020-03-09 00:00:00 UTC,2.49,4.20,4.88,6551.00,-65.51,43.77,54.63,4.20
2020-03-10 00:00:00 UTC,0.68,1.49,1.85,7991.00,-65.14,47.80,46.02,1.49,
2020-03-10 00:00:00 UTC,0.68,1.49,1.85,7991.00,-65.14,47.80,46.02,1.49
2020-03-11 00:00:00 UTC,0.30,0.99,1.87,9431.00,-66.78,52.31,52.12,0.99,
2020-03-11 00:00:00 UTC,0.30,0.99,1.87,9431.00,-66.78,52.31,52.12,0.99
2020-03-12 00:00:00 UTC,0.74,1.89,3.16,10871.00,-62.26,48.99,51.51,1.89,
2020-03-12 00:00:00 UTC,0.74,1.89,3.16,10871.00,-62.26,48.99,51.51,1.89
2020-03-13 00:00:00 UTC,2.30,3.98,4.98,12311.00,-61.48,46.41,52.62,3.98,
2020-03-13 00:00:00 UTC,2.30,3.98,4.98,12311.00,-61.48,46.41,52.62,3.98
2020-03-14 00:00:00 UTC,1.10,2.04,2.50,13751.00,-63.41,43.26,56.12,2.04,
2020-03-14 00:00:00 UTC,1.10,2.04,2.50,13751.00,-63.41,43.26,56.12,2.04
2020-03-15 00:00:00 UTC,2.41,4.20,5.14,15191.43,-63.02,41.00,42.05,4.20,
2020-03-15 00:00:00 UTC,2.41,4.20,5.14,15191.43,-63.02,41.00,42.05,4.20
2020-03-16 00:00:00 UTC,2.00,3.64,4.54,16631.00,-63.48,45.48,40.37,3.64,
2020-03-16 00:00:00 UTC,2.00,3.64,4.54,16631.00,-63.48,45.48,40.37,3.64
2020-03-17 00:00:00 UTC,2.20,3.86,4.68,18071.00,-64.05,48.79,39.90,3.86,
2020-03-17 00:00:00 UTC,2.20,3.86,4.68,18071.00,-64.05,48.79,39.90,3.86
2020-03-18 00:00:00 UTC,5.09,8.52,10.91,19511.00,-63.95,50.60,46.36,8.52,
2020-03-18 00:00:00 UTC,5.09,8.52,10.91,19511.00,-63.95,50.60,46.36,8.52
2020-03-19 00:00:00 UTC,5.34,8.73,11.11,20951.00,-64.72,50.69,47.69,8.73,
2020-03-19 00:00:00 UTC,5.34,8.73,11.11,20951.00,-64.72,50.69,47.69,8.73
2020-03-20 00:00:00 UTC,7.05,10.97,13.35,22391.00,-67.19,53.97,47.11,10.97,
2020-03-20 00:00:00 UTC,7.05,10.97,13.35,22391.00,-67.19,53.97,47.11,10.97
2020-03-21 00:00:00 UTC,7.04,11.10,13.33,23831.00,-67.28,53.73,47.26,11.10,
2020-03-21 00:00:00 UTC,7.04,11.10,13.33,23831.00,-67.28,53.73,47.26,11.10
2020-03-22 00:00:00 UTC,7.27,11.43,13.69,25271.00,-67.69,52.96,48.82,11.43,
2020-03-22 00:00:00 UTC,7.27,11.43,13.69,25271.00,-67.69,52.96,48.82,11.43
2020-03-23 00:00:00 UTC,2.12,3.65,4.82,26711.00,-66.77,52.30,52.78,3.65,
2020-03-23 00:00:00 UTC,2.12,3.65,4.82,26711.00,-66.77,52.30,52.78,3.65
2020-03-24 00:00:00 UTC,0.08,0.44,0.73,28151.00,-66.02,48.90,60.77,0.44,
2020-03-24 00:00:00 UTC,0.08,0.44,0.73,28151.00,-66.02,48.90,60.77,0.44
2020-03-25 00:00:00 UTC,0.96,1.66,1.92,29591.00,-66.18,47.43,63.05,1.66,
2020-03-25 00:00:00 UTC,0.96,1.66,1.92,29591.00,-66.18,47.43,63.05,1.66
2020-03-26 00:00:00 UTC,2.30,3.83,4.72,31031.00,-66.75,48.49,59.03,3.83,
2020-03-26 00:00:00 UTC,2.30,3.83,4.72,31031.00,-66.75,48.49,59.03,3.83
2020-03-27 00:00:00 UTC,4.72,7.88,9.80,32471.00,-66.93,50.89,59.39,7.88,
2020-03-27 00:00:00 UTC,4.72,7.88,9.80,32471.00,-66.93,50.89,59.39,7.88
2020-03-28 00:00:00 UTC,0.27,0.60,0.79,33911.00,-66.89,53.72,61.70,0.60,
2020-03-28 00:00:00 UTC,0.27,0.60,0.79,33911.00,-66.89,53.72,61.70,0.60
2020-03-29 00:00:00 UTC,0.01,0.20,0.41,35351.00,-66.79,53.62,64.30,0.20,
2020-03-29 00:00:00 UTC,0.01,0.20,0.41,35351.00,-66.79,53.62,64.30,0.20
2020-03-30 00:00:00 UTC,0.12,0.49,1.00,36791.00,-67.41,51.25,61.60,0.49,
2020-03-30 00:00:00 UTC,0.12,0.49,1.00,36791.00,-67.41,51.25,61.60,0.49
2020-03-31 00:00:00 UTC,0.09,0.53,0.99,38231.00,-66.86,48.54,60.96,0.53,
2020-03-31 00:00:00 UTC,0.09,0.53,0.99,38231.00,-66.86,48.54,60.96,0.53
2020-04-01 00:00:00 UTC,0.17,0.76,1.29,39671.00,-66.80,48.17,59.39,0.76,
2020-04-01 00:00:00 UTC,0.17,0.76,1.29,39671.00,-66.80,48.17,59.39,0.76
2020-04-02 00:00:00 UTC,1.50,2.64,3.13,41111.00,-66.62,47.28,58.29,2.64,
2020-04-02 00:00:00 UTC,1.50,2.64,3.13,41111.00,-66.62,47.28,58.29,2.64
2020-04-03 00:00:00 UTC,0.94,1.89,2.38,42551.00,-66.55,48.08,52.01,1.89,
2020-04-03 00:00:00 UTC,0.94,1.89,2.38,42551.00,-66.55,48.08,52.01,1.89
2020-04-04 00:00:00 UTC,0.80,1.62,2.00,43991.00,-66.58,47.84,51.48,1.62,
2020-04-04 00:00:00 UTC,0.80,1.62,2.00,43991.00,-66.58,47.84,51.48,1.62
2020-04-05 00:00:00 UTC,3.03,4.82,5.56,45431.00,-66.57,54.08,41.26,4.82,
2020-04-05 00:00:00 UTC,3.03,4.82,5.56,45431.00,-66.57,54.08,41.26,4.82
