created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-01-01 00:00:00 UTC,0.12,0.29,0.66,3787.00,-74.79,61.86,56.34,0.29,
2020-01-02 00:00:00 UTC,0.45,0.86,1.68,5227.00,-74.46,55.66,54.91,0.86,
2020-01-03 00:00:00 UTC,0.83,1.16,1.62,6667.76,-74.30,59.35,57.57,1.16,
2020-01-04 00:00:00 UTC,0.61,1.00,1.68,8106.51,-74.97,56.97,52.00,1.00,
2020-01-05 00:00:00 UTC,0.56,0.86,1.35,9547.00,-76.11,54.58,54.84,0.86,
2020-01-06 00:00:00 UTC,0.38,0.63,1.02,10987.00,-75.92,55.80,56.88,0.63,
2020-01-07 00:00:00 UTC,0.30,0.41,0.57,12427.00,-77.85,61.07,59.17,0.41,
2020-01-08 00:00:00 UTC,0.11,0.24,0.65,13867.00,-77.45,56.81,51.40,0.24,
2020-01-09 00:00:00 UTC,3.95,5.28,6.62,15307.00,-77.40,50.15,53.58,5.28,
2020-01-10 00:00:00 UTC,3.05,4.10,5.20,16747.00,-78.27,50.42,55.26,4.10,
2020-01-11 00:00:00 UTC,0.24,0.50,1.08,18187.00,-78.55,55.12,57.56,0.50,
2020-01-12 00:00:00 UTC,0.39,0.68,1.24,19627.00,-74.93,52.82,54.60,0.68,
2020-01-13 00:00:00 UTC,1.27,1.92,2.98,21067.00,-73.26,47.83,51.39,1.92,
2020-01-14 00:00:00 UTC,4.70,6.36,8.04,22507.00,-72.85,43.27,50.20,6.36,
2020-01-15 00:00:00 UTC,0.50,0.81,1.29,23946.12,-73.92,46.18,43.69,0.81,
2020-01-16 00:00:00 UTC,0.11,0.25,0.60,25387.00,-74.54,52.22,41.66,0.25,
2020-01-17 00:00:00 UTC,1.99,2.84,3.88,26827.00,-74.49,49.32,49.17,2.84,
2020-01-18 00:00:00 UTC,0.64,0.88,1.21,28267.00,-74.40,53.68,52.56,0.88,
2020-01-19 00:00:00 UTC,1.45,1.91,2.36,29707.00,-73.82,57.96,52.48,1.91,
2020-01-20 00:00:00 UTC,8.53,10.73,12.70,31147.00,-73.41,58.07,53.81,10.69,
2020-01-21 00:00:00 UTC,3.71,4.69,5.71,32587.00,-73.17,57.52,54.62,4.69,
2020-01-22 00:00:00 UTC,0.18,0.41,0.88,34027.00,-73.96,56.04,57.16,0.41,
2020-01-23 00:00:00 UTC,1.02,1.32,1.66,1378.28,-74.50,61.08,59.79,1.32,
2020-01-24 00:00:00 UTC,0.28,0.48,0.81,2093.00,-74.71,61.26,59.64,0.47,
2020-01-25 00:00:00 UTC,1.40,1.94,2.51,3532.09,-74.05,59.52,59.17,1.94,
2020-01-26 00:00:00 UTC,1.08,1.48,2.02,4973.00,-75.88,59.32,57.88,1.48,
2020-01-27 00:00:00 UTC,0.40,0.67,1.25,6413.00,-75.34,58.14,53.20,0.67,
2020-01-28 00:00:00 UTC,0.44,0.71,1.10,7853.00,-73.48,58.23,58.59,0.67,
2020-01-29 00:00:00 UTC,0.85,1.22,1.65,9293.99,-73.50,59.08,58.78,1.22,
2020-01-30 00:00:00 UTC,4.39,6.24,7.77,10733.00,-74.53,57.38,57.52,6.24,
2020-01-31 00:00:00 UTC,1.27,1.71,2.17,12173.00,-74.56,61.67,61.90,1.71,
2020-02-01 00:00:00 UTC,0.19,0.37,0.70,13613.00,-74.95,62.14,59.56,0.37,
2020-02-02 00:00:00 UTC,1.01,1.60,2.56,15053.00,-74.42,50.47,52.44,1.60,
2020-02-03 00:00:00 UTC,7.02,9.12,11.22,16493.00,-74.72,50.35,51.84,9.06,
2020-02-04 00:00:00 UTC,3.72,4.83,5.99,17933.00,-75.95,47.56,52.89,4.83,
2020-02-05 00:00:00 UTC,0.61,0.87,1.18,19373.00,-75.79,54.80,59.56,0.87,
2020-02-06 00:00:00 UTC,1.00,1.42,1.84,20813.00,-75.12,59.87,60.44,1.42,
2020-02-07 00:00:00 UTC,4.05,6.52,8.90,22253.00,-74.47,58.70,59.64,6.52,
2020-02-08 00:00:00 UTC,0.28,0.62,1.48,23693.00,-74.43,55.99,56.99,0.62,
2020-02-09 00:00:00 UTC,3.02,4.18,5.46,25133.00,-74.94,53.17,53.28,4.18,
2020-02-10 00:00:00 UTC,7.88,9.81,11.85,26573.00,-74.56,52.81,51.79,9.81,
2020-02-11 00:00:00 UTC,7.06,9.07,10.96,28013.00,-74.30,52.58,52.33,9.07,
2020-02-12 00:00:00 UTC,5.06,6.81,8.33,29453.00,-74.70,57.52,55.51,6.81,
2020-02-13 00:00:00 UTC,4.10,5.45,6.62,30893.00,-74.12,55.50,54.86,5.45,
2020-02-14 00:00:00 UTC,0.45,0.79,1.46,32333.00,-73.76,55.38,52.34,0.79,
2020-02-15 00:00:00 UTC,0.37,0.66,1.19,33773.00,-74.49,55.41,53.30,0.66,
2020-02-16 00:00:00 UTC,0.96,1.44,2.17,35213.00,-74.24,54.84,54.01,1.28,
2020-02-17 00:00:00 UTC,1.37,1.97,2.85,36653.00,-74.64,53.11,52.01,1.97,
2020-02-18 00:00:00 UTC,1.79,2.53,3.30,16996.29,-73.85,51.70,44.56,2.52,
2020-02-19 00:00:00 UTC,3.54,4.63,5.78,1309.00,-75.26,50.77,42.80,4.63,
2020-02-20 00:00:00 UTC,2.57,3.51,4.49,2749.00,-74.64,51.93,38.84,3.51,
2020-02-21 00:00:00 UTC,4.94,6.36,7.88,4189.00,-74.68,52.98,42.17,6.36,
2020-02-22 00:00:00 UTC,5.24,6.78,8.20,5629.00,-74.72,56.15,46.06,6.78,
2020-02-23 00:00:00 UTC,3.57,4.62,5.73,7069.00,-74.56,56.13,51.67,4.62,
2020-02-24 00:00:00 UTC,0.89,1.69,3.39,8509.00,-75.47,54.75,43.79,1.69,
2020-02-25 00:00:00 UTC,3.00,4.26,5.90,9949.00,-74.32,54.11,44.89,4.26,
2020-02-26 00:00:00 UTC,4.23,5.62,6.99,11389.00,-74.85,58.84,50.85,5.62,
