created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-01-01 00:00:00 UTC,1.03,1.68,1.94,863.78,-76.04,58.83,63.67,1.62,
2020-01-02 00:00:00 UTC,1.12,2.25,2.89,1857.00,-77.14,53.36,59.15,2.23,
2020-01-03 00:00:00 UTC,1.23,2.09,2.48,3297.00,-78.74,55.69,65.97,2.09,
2020-01-04 00:00:00 UTC,0.98,1.74,2.10,4737.00,-78.66,53.13,60.29,1.72,
2020-01-05 00:00:00 UTC,1.18,1.86,2.16,6177.00,-77.20,51.39,63.51,1.83,
2020-01-06 00:00:00 UTC,2.24,3.29,3.59,7617.00,-78.66,52.04,68.12,3.08,
2020-01-07 00:00:00 UTC,0.36,0.52,0.59,9057.00,-79.55,56.96,70.67,0.52,
2020-01-08 00:00:00 UTC,0.18,0.45,0.65,10490.08,-78.13,52.51,61.74,0.45,
2020-01-09 00:00:00 UTC,3.00,4.72,5.26,11937.00,-77.32,47.57,60.30,4.72,
2020-01-10 00:00:00 UTC,5.58,8.54,9.28,13377.00,-76.77,48.16,64.37,8.52,
2020-01-11 00:00:00 UTC,1.63,2.57,2.96,14817.00,-76.23,52.60,65.24,2.54,
2020-01-12 00:00:00 UTC,2.61,3.89,4.33,16256.36,-77.01,49.52,61.22,3.84,
2020-01-13 00:00:00 UTC,3.03,4.96,5.71,12726.19,-76.77,44.47,59.04,4.86,
2020-01-14 00:00:00 UTC,2.50,3.89,4.42,1055.00,-77.58,40.50,61.08,3.89,
2020-01-15 00:00:00 UTC,0.65,1.17,1.45,2495.00,-76.25,42.86,54.31,1.17,
2020-01-16 00:00:00 UTC,3.19,5.11,5.78,978.13,-76.78,49.24,55.39,4.82,
2020-01-17 00:00:00 UTC,3.55,5.48,6.10,1971.00,-77.41,45.43,60.53,5.48,
2020-01-18 00:00:00 UTC,3.32,5.01,5.54,3411.00,-78.10,50.43,62.11,5.01,
2020-01-19 00:00:00 UTC,3.76,5.51,6.02,4851.00,-78.54,55.05,62.68,5.49,
2020-01-20 00:00:00 UTC,10.51,15.54,16.80,6291.00,-77.42,54.30,65.15,14.94,
2020-01-21 00:00:00 UTC,5.66,8.40,9.10,7731.00,-77.67,53.99,64.50,8.40,
2020-01-22 00:00:00 UTC,0.54,1.11,1.43,2535.56,-77.56,52.61,67.32,1.11,
2020-01-23 00:00:00 UTC,1.24,1.75,1.92,1747.00,-78.70,58.20,69.72,1.74,
2020-01-24 00:00:00 UTC,0.51,0.87,1.06,3187.00,-77.12,58.91,68.58,0.87,
2020-01-25 00:00:00 UTC,3.31,4.77,5.19,4627.00,-80.66,56.58,67.51,4.68,
2020-01-26 00:00:00 UTC,2.96,4.62,5.22,6067.00,-77.78,56.85,65.29,4.53,
2020-01-27 00:00:00 UTC,0.93,1.67,2.08,7507.00,-78.90,55.37,62.92,1.65,
2020-01-28 00:00:00 UTC,0.72,1.28,1.52,8947.00,-76.72,56.84,64.46,1.28,
2020-01-29 00:00:00 UTC,1.74,2.55,2.82,10386.00,-76.01,56.60,66.45,2.53,
2020-01-30 00:00:00 UTC,3.89,6.21,6.83,11826.69,-76.35,55.26,65.09,6.20,
2020-01-31 00:00:00 UTC,1.53,2.14,2.32,13267.00,-76.56,58.43,71.48,2.13,
2020-02-01 00:00:00 UTC,1.03,1.59,1.81,14707.00,-78.66,59.14,66.32,1.55,
2020-02-02 00:00:00 UTC,2.21,3.58,4.09,16147.00,-75.72,47.98,57.48,3.57,
2020-02-03 00:00:00 UTC,2.57,3.92,4.36,17587.00,-75.43,48.41,55.11,3.90,
2020-02-04 00:00:00 UTC,6.04,8.95,9.76,19027.00,-74.26,46.55,58.77,8.94,
2020-02-05 00:00:00 UTC,1.10,1.58,1.74,4430.52,-75.05,50.42,68.44,1.58,
2020-02-06 00:00:00 UTC,4.50,7.35,8.15,1859.00,-74.93,56.05,68.18,7.23,
2020-02-07 00:00:00 UTC,2.37,3.28,3.48,3299.00,-75.76,55.25,66.67,3.28,
2020-02-08 00:00:00 UTC,1.64,2.92,3.55,4739.00,-74.93,52.73,64.74,2.91,
