created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-01-01 00:00:00 UTC,0.01,0.08,0.23,14463.72,-76.20,59.02,62.63,0.08,
2020-01-02 00:00:00 UTC,0.40,1.23,2.17,15900.00,-76.28,53.56,59.72,1.23,
2020-01-03 00:00:00 UTC,0.41,0.92,1.35,17340.00,-76.24,56.26,62.83,0.92,
2020-01-04 00:00:00 UTC,0.34,0.84,1.38,18780.00,-78.46,53.62,58.28,0.84,
2020-01-05 00:00:00 UTC,0.13,0.41,0.68,20220.00,-76.97,52.60,60.49,0.41,
2020-01-06 00:00:00 UTC,0.06,0.27,0.53,21660.00,-78.19,53.20,64.45,0.27,
2020-01-07 00:00:00 UTC,0.00,0.02,0.05,23100.00,-77.89,57.79,67.65,0.02,
2020-01-08 00:00:00 UTC,0.02,0.14,0.38,24534.61,-77.26,53.54,58.79,0.14,
2020-01-09 00:00:00 UTC,3.06,5.01,5.76,25983.68,-76.85,48.58,58.14,5.01,
2020-01-10 00:00:00 UTC,3.94,6.21,6.98,27420.00,-76.57,48.64,62.23,6.21,
2020-01-11 00:00:00 UTC,0.17,0.58,0.98,28860.00,-76.34,53.45,62.97,0.58,
2020-01-12 00:00:00 UTC,0.33,0.72,1.06,30300.00,-72.42,50.37,58.95,0.72,
2020-01-13 00:00:00 UTC,2.60,4.37,5.32,16947.64,-75.36,45.60,56.30,4.33,
2020-01-14 00:00:00 UTC,1.73,3.02,3.68,1289.00,-74.57,41.29,57.02,3.02,
2020-01-15 00:00:00 UTC,0.69,1.35,1.84,2729.00,-73.15,43.80,52.08,1.35,
2020-01-16 00:00:00 UTC,0.43,0.89,1.28,4163.56,-74.98,49.88,51.77,0.89,
2020-01-17 00:00:00 UTC,2.21,3.91,4.71,5610.25,-77.43,46.32,56.80,3.91,
2020-01-18 00:00:00 UTC,2.22,3.65,4.23,7050.14,-74.08,51.35,59.54,3.65,
2020-01-19 00:00:00 UTC,1.96,3.15,3.60,8491.76,-79.40,56.54,58.29,3.15,
2020-01-20 00:00:00 UTC,4.67,7.39,8.35,9929.00,-75.88,57.21,58.68,7.39,
2020-01-21 00:00:00 UTC,3.69,5.46,5.99,11369.00,-77.31,55.17,61.31,5.43,
2020-01-22 00:00:00 UTC,0.50,1.12,1.66,12809.00,-80.33,53.42,64.62,1.12,
2020-01-23 00:00:00 UTC,1.12,1.71,1.96,14249.00,-81.64,59.00,66.90,1.71,
2020-01-24 00:00:00 UTC,0.47,0.84,1.09,15689.00,-79.70,59.37,66.34,0.84,
2020-01-25 00:00:00 UTC,1.12,2.00,2.45,17129.00,-79.99,57.62,64.71,2.00,
2020-01-26 00:00:00 UTC,1.75,2.91,3.59,18569.00,-79.55,57.60,62.54,2.91,
2020-01-27 00:00:00 UTC,0.22,0.72,1.29,20009.00,-79.56,55.48,60.22,0.72,
2020-01-28 00:00:00 UTC,0.60,1.22,1.65,21447.63,-78.68,57.06,63.24,1.22,
2020-01-29 00:00:00 UTC,0.95,1.56,1.87,22889.00,-77.18,56.87,64.70,1.56,
2020-01-30 00:00:00 UTC,4.75,7.95,8.92,24329.00,-77.84,55.20,63.10,7.95,
2020-01-31 00:00:00 UTC,0.69,1.02,1.17,25769.40,-76.14,58.82,69.49,1.02,
2020-02-01 00:00:00 UTC,0.11,0.37,0.65,27209.00,-80.16,58.96,66.32,0.37,
2020-02-02 00:00:00 UTC,1.26,2.41,3.16,28650.09,-79.74,48.50,56.59,2.41,
2020-02-03 00:00:00 UTC,1.01,1.84,2.28,30088.70,-78.29,49.06,52.58,1.84,
2020-02-04 00:00:00 UTC,4.22,6.66,7.60,31527.17,-78.56,46.96,55.43,6.63,
2020-02-05 00:00:00 UTC,0.84,1.47,1.75,26619.79,-77.56,51.06,65.05,1.47,
2020-02-06 00:00:00 UTC,2.28,4.15,4.63,971.00,-77.96,56.88,64.51,4.15,
2020-02-07 00:00:00 UTC,2.52,4.00,4.43,2411.00,-80.09,55.51,63.78,3.99,
2020-02-08 00:00:00 UTC,0.26,1.01,1.89,3851.00,-75.75,53.79,61.29,1.01,
2020-02-09 00:00:00 UTC,1.12,2.13,2.75,5291.00,-74.82,51.90,55.58,2.12,
2020-02-10 00:00:00 UTC,8.30,12.34,13.74,6731.00,-76.52,51.17,57.24,12.34,
2020-02-11 00:00:00 UTC,6.50,9.69,10.76,8171.00,-79.19,51.82,57.00,9.69,
2020-02-12 00:00:00 UTC,6.50,9.92,11.35,9611.00,-77.42,56.00,59.95,9.97,
2020-02-13 00:00:00 UTC,6.24,9.90,10.92,11051.00,-76.47,54.00,60.57,9.87,
2020-02-14 00:00:00 UTC,0.38,0.85,1.31,12490.30,-74.39,52.28,57.92,0.85,
2020-02-15 00:00:00 UTC,0.26,0.81,1.36,13931.00,-75.68,51.84,62.10,0.81,
2020-02-16 00:00:00 UTC,0.64,1.39,2.05,15371.00,-73.27,52.54,60.72,1.39,
2020-02-17 00:00:00 UTC,2.33,4.00,4.88,16802.18,-74.09,50.91,55.32,4.00,
2020-02-18 00:00:00 UTC,2.87,4.49,5.19,18251.00,-75.16,50.27,52.74,4.49,
2020-02-19 00:00:00 UTC,2.96,4.62,5.32,19691.00,-74.77,50.36,49.09,4.62,
2020-02-20 00:00:00 UTC,3.41,5.59,6.44,21131.00,-76.50,52.82,40.38,5.59,
2020-02-21 00:00:00 UTC,6.73,10.30,11.54,22571.00,-76.77,52.20,48.91,10.30,
2020-02-22 00:00:00 UTC,3.17,4.96,5.70,24011.00,-76.42,54.66,52.49,4.96,
2020-02-23 00:00:00 UTC,5.34,8.07,9.14,25451.00,-74.45,53.79,57.61,8.07,
2020-02-24 00:00:00 UTC,0.59,1.83,3.13,26891.00,-74.77,51.93,50.50,1.83,
2020-02-25 00:00:00 UTC,3.64,6.25,7.79,28331.00,-77.70,53.42,49.44,6.25,
2020-02-26 00:00:00 UTC,4.65,7.37,8.59,29771.00,-78.50,56.78,52.91,7.37,
2020-02-27 00:00:00 UTC,4.74,7.23,8.18,31210.18,-76.72,56.73,53.01,7.23,
2020-02-28 00:00:00 UTC,3.62,6.14,7.21,32651.00,-77.08,53.51,57.20,6.11,
2020-02-29 00:00:00 UTC,0.18,0.51,0.87,34091.87,-78.14,52.55,58.65,0.51,
2020-03-01 00:00:00 UTC,2.83,4.67,5.45,35531.00,-77.20,51.64,52.69,4.67,
2020-03-02 00:00:00 UTC,1.96,3.48,4.25,36971.00,-76.24,52.96,56.67,3.48,
2020-03-03 00:00:00 UTC,0.08,0.20,0.27,38411.00,-76.45,57.24,59.19,0.20,
2020-03-04 00:00:00 UTC,0.37,1.34,2.35,37934.84,-74.37,55.02,52.73,1.34,
2020-03-05 00:00:00 UTC,3.11,5.45,6.73,789.00,-72.80,55.71,45.84,5.45,
2020-03-06 00:00:00 UTC,0.06,0.21,0.39,2225.58,-72.24,53.56,58.74,0.21,
2020-03-07 00:00:00 UTC,2.57,4.10,4.72,3667.00,-69.72,51.64,57.72,4.10,
2020-03-08 00:00:00 UTC,1.90,3.20,3.63,5107.00,-71.91,50.48,54.51,3.14
2020-03-09 00:00:00 UTC,3.09,4.56,5.04,6544.18,-71.12,50.19,50.80,4.56,
2020-03-09 00:00:00 UTC,3.09,4.56,5.04,6544.18,-71.12,50.19,50.80,4.56
2020-03-10 00:00:00 UTC,3.89,6.12,6.93,7987.00,-77.98,52.01,48.12,6.03,
2020-03-10 00:00:00 UTC,3.89,6.12,6.93,7987.00,-77.98,52.01,48.12,6.03
2020-03-11 00:00:00 UTC,0.15,0.48,0.81,9427.00,-77.66,55.14,54.15,0.48,
2020-03-11 00:00:00 UTC,0.15,0.48,0.81,9427.00,-77.66,55.14,54.15,0.48
2020-03-12 00:00:00 UTC,1.42,2.80,3.77,10867.00,-77.08,53.86,51.47,2.80,
2020-03-12 00:00:00 UTC,1.42,2.80,3.77,10867.00,-77.08,53.86,51.47,2.80
2020-03-13 00:00:00 UTC,2.15,3.73,4.46,12307.00,-76.48,50.72,52.98,3.73,
2020-03-13 00:00:00 UTC,2.15,3.73,4.46,12307.00,-76.48,50.72,52.98,3.73
2020-03-14 00:00:00 UTC,0.62,1.48,2.02,13745.91,-73.97,45.18,46.21,1.48,
2020-03-14 00:00:00 UTC,0.62,1.48,2.02,13745.91,-73.97,45.18,46.21,1.48
2020-03-15 00:00:00 UTC,1.30,2.55,3.24,15187.00,-73.09,45.18,34.70,2.55,
2020-03-15 00:00:00 UTC,1.30,2.55,3.24,15187.00,-73.09,45.18,34.70,2.55
2020-03-16 00:00:00 UTC,1.04,1.83,2.33,16627.00,-73.06,53.22,32.12,1.83,
2020-03-16 00:00:00 UTC,1.04,1.83,2.33,16627.00,-73.06,53.22,32.12,1.83
2020-03-17 00:00:00 UTC,5.18,7.93,8.85,18067.00,-72.42,53.41,43.37,7.93,
2020-03-17 00:00:00 UTC,5.18,7.93,8.85,18067.00,-72.42,53.41,43.37,7.93
2020-03-18 00:00:00 UTC,6.86,10.63,12.13,19507.00,-73.29,53.84,48.65,10.62,
2020-03-18 00:00:00 UTC,6.86,10.63,12.13,19507.00,-73.29,53.84,48.65,10.62
2020-03-19 00:00:00 UTC,10.66,17.20,19.56,20947.00,-73.25,56.44,50.17,17.20,
2020-03-19 00:00:00 UTC,10.66,17.20,19.56,20947.00,-73.25,56.44,50.17,17.20
2020-03-20 00:00:00 UTC,10.10,15.41,17.06,22387.00,-73.55,58.42,49.46,15.41,
2020-03-20 00:00:00 UTC,10.10,15.41,17.06,22387.00,-73.55,58.42,49.46,15.41
2020-03-21 00:00:00 UTC,7.44,11.44,12.76,23827.00,-74.15,57.78,51.79,11.43,
2020-03-21 00:00:00 UTC,7.44,11.44,12.76,23827.00,-74.15,57.78,51.79,11.43
2020-03-22 00:00:00 UTC,17.08,27.02,29.27,25267.00,-74.15,56.26,53.79,26.39,
2020-03-22 00:00:00 UTC,17.08,27.02,29.27,25267.00,-74.15,56.26,53.79,26.39
2020-03-23 00:00:00 UTC,1.20,2.15,2.85,26707.00,-73.68,55.47,50.08,2.15,
