created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-01-01 00:00:00 UTC,1.53,2.15,2.75,21189.00,-59.45,57.73,62.75,2.15,
2020-01-02 00:00:00 UTC,3.73,5.28,6.72,22629.00,-60.46,50.63,63.86,5.22,
2020-01-03 00:00:00 UTC,4.53,5.98,7.02,24069.00,-59.04,54.90,62.78,5.88,
2020-01-04 00:00:00 UTC,2.31,3.53,4.73,25509.00,-61.43,53.73,54.29,3.41,
2020-01-05 00:00:00 UTC,3.42,4.83,5.89,26949.00,-62.42,51.31,57.57,4.57,
2020-01-06 00:00:00 UTC,2.30,3.27,4.06,28389.00,-62.78,52.17,63.18,3.21,
2020-01-07 00:00:00 UTC,1.33,1.87,2.30,29829.00,-60.48,57.69,64.52,1.83,
2020-01-08 00:00:00 UTC,1.58,2.38,3.19,31269.46,-60.70,52.88,56.18,2.38,
2020-01-09 00:00:00 UTC,11.41,15.17,17.01,32709.00,-58.69,45.12,61.20,15.14,
2020-01-10 00:00:00 UTC,9.83,13.72,15.41,34149.00,-58.82,46.06,62.57,13.39,
2020-01-11 00:00:00 UTC,2.69,3.73,4.63,35589.00,-57.08,51.45,63.13,3.73,
2020-01-12 00:00:00 UTC,1.82,2.70,3.53,37029.75,-58.37,48.76,60.25,2.69,
2020-01-13 00:00:00 UTC,4.45,6.02,7.34,38469.00,-58.77,41.85,61.57,5.98,
2020-01-14 00:00:00 UTC,5.40,7.24,8.47,39909.00,-58.64,35.46,62.78,7.23,
2020-01-15 00:00:00 UTC,3.61,4.81,5.72,41349.00,-57.62,41.93,49.57,4.71,
2020-01-16 00:00:00 UTC,3.47,4.53,5.37,42789.00,-58.10,47.45,48.17,4.52,
2020-01-17 00:00:00 UTC,5.56,7.33,8.60,44229.00,-58.37,45.72,56.52,7.30,
2020-01-18 00:00:00 UTC,5.05,6.47,7.32,45669.00,-59.42,49.07,58.73,6.43,
2020-01-19 00:00:00 UTC,5.84,7.47,8.35,47109.00,-57.81,55.13,53.42,7.46,
2020-01-20 00:00:00 UTC,18.43,24.38,27.05,48549.00,-58.84,54.33,60.49,21.27,
2020-01-21 00:00:00 UTC,10.20,13.52,15.15,49989.02,-58.86,53.38,59.38,13.19,
2020-01-22 00:00:00 UTC,2.29,3.36,4.34,51429.00,-61.98,52.02,63.41,3.34,
2020-01-23 00:00:00 UTC,5.80,7.33,8.21,52869.00,-59.78,56.99,67.33,7.31,
2020-01-24 00:00:00 UTC,2.56,3.39,4.03,54309.00,-59.83,57.91,65.28,3.36,
2020-01-25 00:00:00 UTC,4.90,6.40,7.30,55749.00,-59.16,55.32,66.75,6.38,
2020-01-26 00:00:00 UTC,5.33,6.97,8.04,57189.00,-58.41,55.99,62.48,6.93,
2020-01-27 00:00:00 UTC,2.80,3.85,4.85,58629.34,-59.30,54.54,56.87,3.85,
2020-01-28 00:00:00 UTC,3.44,4.44,5.13,60069.00,-61.78,54.49,64.14,4.35,
2020-01-29 00:00:00 UTC,4.57,5.87,6.64,61509.00,-60.70,55.97,62.62,5.86,
2020-01-30 00:00:00 UTC,13.51,19.48,21.79,62949.00,-62.17,52.03,66.88,18.84,
2020-01-31 00:00:00 UTC,3.11,3.99,4.54,64389.00,-62.22,57.88,68.34,3.98,
2020-02-01 00:00:00 UTC,1.32,1.97,2.72,65829.00,-62.37,57.11,66.18,1.97,
2020-02-02 00:00:00 UTC,5.63,7.50,8.82,67269.00,-64.15,45.56,60.59,7.48,
2020-02-03 00:00:00 UTC,3.17,4.19,4.90,68709.00,-62.16,45.97,54.82,4.19,
2020-02-04 00:00:00 UTC,12.15,16.02,18.02,70148.58,-62.04,43.19,59.07,15.88,
2020-02-05 00:00:00 UTC,5.81,7.23,8.02,35499.24,-61.88,49.98,67.65,7.23,
2020-02-06 00:00:00 UTC,5.26,6.87,7.57,1446.00,-62.28,53.58,71.05,6.87,
2020-02-07 00:00:00 UTC,6.93,9.87,11.00,2885.22,-61.59,52.87,67.73,9.77,
2020-02-08 00:00:00 UTC,1.99,3.18,4.54,4326.88,-62.04,52.24,61.23,3.18,
2020-02-09 00:00:00 UTC,5.17,7.15,8.51,5766.00,-65.37,48.02,59.47,7.13,
2020-02-10 00:00:00 UTC,19.14,25.49,28.37,7207.00,-64.01,48.35,57.04,23.93,
2020-02-11 00:00:00 UTC,14.74,19.90,22.32,8647.45,-62.61,48.61,60.07,19.66,
2020-02-12 00:00:00 UTC,11.89,15.73,17.40,10088.00,-63.38,52.62,62.13,15.67,
2020-02-13 00:00:00 UTC,13.47,17.86,19.72,11528.00,-63.98,51.56,60.09,17.62,
2020-02-14 00:00:00 UTC,3.40,4.69,5.74,12968.00,-62.81,51.12,57.55,4.65,
2020-02-15 00:00:00 UTC,2.81,4.25,5.58,14407.00,-64.10,52.18,57.96,4.09,
2020-02-16 00:00:00 UTC,4.48,5.97,7.71,15846.00,-60.91,50.76,61.22,5.90,
2020-02-17 00:00:00 UTC,7.03,9.45,11.05,17287.00,-62.42,48.72,58.37,9.26,
2020-02-18 00:00:00 UTC,5.23,6.66,7.54,18728.25,-62.71,44.53,56.61,6.66,
2020-02-19 00:00:00 UTC,6.37,8.60,9.88,20167.00,-63.20,45.60,52.09,8.60,
2020-02-20 00:00:00 UTC,7.56,10.11,11.69,21607.00,-62.95,47.17,44.03,10.02,
2020-02-21 00:00:00 UTC,12.72,16.97,19.20,23048.00,-62.18,49.54,50.51,16.90,
2020-02-22 00:00:00 UTC,7.83,10.19,11.52,24488.00,-64.58,53.35,50.78,10.12,
2020-02-23 00:00:00 UTC,8.72,11.50,13.05,25928.00,-60.93,52.26,57.36,11.27,
2020-02-24 00:00:00 UTC,2.92,4.71,6.66,27368.00,-61.70,50.87,48.67,4.62,
2020-02-25 00:00:00 UTC,7.41,9.98,11.95,28808.00,-60.60,50.02,49.50,9.98,
2020-02-26 00:00:00 UTC,10.33,13.70,15.55,30248.00,-62.34,55.19,52.31,13.59,
2020-02-27 00:00:00 UTC,8.40,10.95,12.42,31688.00,-65.84,55.18,50.78,10.90,
2020-02-28 00:00:00 UTC,9.31,13.48,15.77,33128.00,-62.00,51.00,59.42,13.28,
2020-02-29 00:00:00 UTC,1.53,2.30,3.10,34568.00,-60.57,52.54,55.61,2.27,
2020-03-01 00:00:00 UTC,8.55,11.58,13.36,36008.00,-60.96,49.28,52.51,11.53,
2020-03-02 00:00:00 UTC,5.19,7.08,8.38,37448.00,-63.25,50.74,57.58,6.98,
2020-03-03 00:00:00 UTC,1.45,2.02,2.46,38888.00,-60.92,56.05,60.22,1.96,
2020-03-04 00:00:00 UTC,2.40,3.70,5.07,38554.66,-61.28,54.01,51.73,3.69,
2020-03-05 00:00:00 UTC,5.12,6.95,8.40,782.62,-63.29,54.54,43.57,6.93,
2020-03-06 00:00:00 UTC,2.28,2.94,3.38,2222.46,-63.12,50.62,61.84,2.91,
2020-03-07 00:00:00 UTC,7.78,10.75,12.02,3662.87,-60.22,50.61,57.21,10.44,
2020-03-08 00:00:00 UTC,5.80,7.38,8.18,5102.24,-61.89,47.68,58.65,7.33
2020-03-09 00:00:00 UTC,7.54,9.93,11.18,6543.96,-63.34,44.70,56.13,9.83,
2020-03-09 00:00:00 UTC,7.54,9.93,11.18,6543.96,-63.34,44.70,56.13,9.83
2020-03-10 00:00:00 UTC,7.73,9.87,11.00,7983.00,-60.95,49.74,45.49,9.84,
