created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-01-01 00:00:00 UTC,0.00,0.00,0.00,41073.00,-75.60,56.03,66.25,0.00,
2020-01-02 00:00:00 UTC,0.00,0.00,0.00,42513.00,-76.16,49.86,62.08,0.00,
2020-01-03 00:00:00 UTC,0.00,0.00,0.00,43952.76,-76.21,55.22,61.22,0.00,
2020-01-04 00:00:00 UTC,0.00,0.00,0.00,45391.00,-76.20,51.50,58.56,0.00,
2020-01-05 00:00:00 UTC,0.00,0.00,0.00,46831.00,-75.33,49.26,60.13,0.00,
2020-01-06 00:00:00 UTC,0.00,0.00,0.00,48271.00,-74.56,49.82,66.15,0.00,
2020-01-07 00:00:00 UTC,0.00,0.00,0.00,49711.00,-74.84,55.83,66.61,0.00,
2020-01-08 00:00:00 UTC,0.00,0.00,0.00,51151.00,-74.47,50.37,62.09,0.00,
2020-01-09 00:00:00 UTC,0.00,0.00,0.00,52591.00,-73.78,44.66,60.62,0.00,
2020-01-10 00:00:00 UTC,0.00,0.00,0.00,54031.00,-73.17,45.30,61.23,0.00,
2020-01-11 00:00:00 UTC,0.00,0.00,0.00,55471.00,-73.38,49.31,65.81,0.00,
2020-01-12 00:00:00 UTC,0.00,0.00,0.00,56911.00,-75.08,46.24,64.63,0.00,
2020-01-13 00:00:00 UTC,0.00,0.00,0.00,58351.00,-76.14,42.33,58.28,0.00,
2020-01-14 00:00:00 UTC,0.00,0.00,0.00,59791.00,-74.06,36.84,60.60,0.00,
2020-01-15 00:00:00 UTC,0.00,0.00,0.00,61231.00,-74.53,39.98,51.09,0.00,
2020-01-16 00:00:00 UTC,0.00,0.00,0.00,62671.00,-75.07,46.75,48.90,0.00,
2020-01-17 00:00:00 UTC,0.00,0.00,0.00,64111.00,-71.83,44.48,54.50,0.00,
2020-01-18 00:00:00 UTC,0.00,0.00,0.00,65551.78,-73.85,49.40,54.14,0.00,
2020-01-19 00:00:00 UTC,0.00,0.00,0.00,66991.00,-75.80,57.67,49.31,0.00,
2020-01-20 00:00:00 UTC,0.00,0.00,0.00,68431.78,-75.17,58.82,41.75,0.00,
2020-01-21 00:00:00 UTC,0.00,0.00,0.00,69871.00,-74.13,56.39,48.72,0.00,
2020-01-22 00:00:00 UTC,0.00,0.00,0.00,49040.74,-73.93,50.93,63.83,0.00,
2020-01-23 00:00:00 UTC,0.00,0.00,0.00,1159.49,-74.64,57.62,65.20,0.00,
2020-01-24 00:00:00 UTC,0.00,0.00,0.00,2608.00,-74.54,56.44,66.17,0.00,
2020-01-25 00:00:00 UTC,0.00,0.00,0.00,4048.00,-74.33,55.02,65.24,0.00,
2020-01-26 00:00:00 UTC,0.00,0.00,0.00,5488.00,-74.89,55.26,62.18,0.00,
2020-01-27 00:00:00 UTC,0.00,0.00,0.00,6928.00,-76.33,52.92,59.17,0.00,
2020-01-28 00:00:00 UTC,0.00,0.00,0.00,8368.00,-76.48,54.13,63.46,0.00,
