created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-01-01 00:00:00 UTC,0.08,0.45,1.21,11942.30,-86.62,55.37,72.21,0.45,
2020-01-02 00:00:00 UTC,0.61,1.87,3.67,13385.00,-86.80,49.60,70.20,1.87,
2020-01-03 00:00:00 UTC,1.40,2.56,3.55,14825.00,-87.71,52.69,72.19,2.56,
2020-01-04 00:00:00 UTC,0.49,1.28,2.52,16265.47,-87.00,50.66,66.38,1.28,
2020-01-05 00:00:00 UTC,0.66,1.40,2.13,17703.92,-88.27,49.33,68.13,1.40,
2020-01-06 00:00:00 UTC,0.06,0.44,1.26,19143.66,-87.38,49.83,73.04,0.44,
2020-01-07 00:00:00 UTC,0.03,0.17,0.71,20583.76,-87.60,54.31,76.23,0.17,
2020-01-08 00:00:00 UTC,0.03,0.29,0.98,22024.01,-89.87,49.76,67.18,0.29,
2020-01-09 00:00:00 UTC,6.32,11.13,12.86,23465.19,-89.65,44.49,68.77,11.10,
2020-01-10 00:00:00 UTC,6.71,12.13,14.08,24905.14,-88.78,44.58,71.29,12.06,
2020-01-11 00:00:00 UTC,0.22,0.77,1.69,26345.00,-88.54,49.46,72.61,0.77,
2020-01-12 00:00:00 UTC,0.18,0.61,1.35,27784.67,-88.34,46.99,68.09,0.61,
2020-01-13 00:00:00 UTC,1.03,2.31,3.57,29225.00,-87.45,40.79,67.24,2.31,
2020-01-14 00:00:00 UTC,2.27,4.34,5.51,30665.43,-87.85,36.17,68.65,4.34,
2020-01-15 00:00:00 UTC,0.34,0.95,1.62,32105.53,-88.42,40.66,58.72,0.95,
2020-01-16 00:00:00 UTC,0.50,1.21,1.94,33545.00,-88.48,45.58,58.15,1.21,
2020-01-17 00:00:00 UTC,1.92,3.53,4.62,34984.29,-89.10,43.97,65.21,3.52,
2020-01-18 00:00:00 UTC,1.00,1.86,2.38,36425.01,-88.48,47.18,67.48,1.85,
2020-01-19 00:00:00 UTC,2.30,3.58,4.18,37865.20,-89.11,52.57,62.86,3.58,
2020-01-20 00:00:00 UTC,4.04,6.31,7.26,39305.57,-88.79,53.43,66.02,6.31,
2020-01-21 00:00:00 UTC,2.64,4.28,5.20,40746.00,-87.97,51.91,67.91,4.28,
2020-01-22 00:00:00 UTC,0.24,0.99,2.05,42186.00,-87.45,49.98,73.52,0.99,
2020-01-23 00:00:00 UTC,2.18,3.41,4.07,43626.81,-87.70,54.92,75.82,3.41,
2020-01-24 00:00:00 UTC,1.09,1.82,2.55,45066.00,-87.00,57.69,76.08,1.82,
2020-01-25 00:00:00 UTC,1.66,2.80,3.54,46506.00,-86.65,53.42,75.06,2.80,
2020-01-26 00:00:00 UTC,1.99,3.48,4.69,47946.00,-87.58,53.68,71.86,3.48,
2020-01-27 00:00:00 UTC,0.47,1.30,2.53,49386.24,-88.52,52.09,67.97,1.30,
2020-01-28 00:00:00 UTC,0.89,1.67,2.29,50826.00,-87.68,52.20,74.22,1.67,
2020-01-29 00:00:00 UTC,1.25,2.16,2.87,52266.51,-87.79,53.06,73.88,2.16,
2020-01-30 00:00:00 UTC,6.74,12.27,14.16,53706.83,-88.09,51.45,73.62,12.24,
2020-01-31 00:00:00 UTC,1.42,2.88,5.20,55144.84,-87.89,54.96,78.53,2.88,
2020-02-01 00:00:00 UTC,0.14,0.77,1.98,56585.13,-87.07,55.37,75.05,0.77,
2020-02-02 00:00:00 UTC,1.74,3.53,4.97,58026.00,-88.37,45.01,65.72,3.49,
2020-02-03 00:00:00 UTC,0.38,0.95,1.47,59466.00,-88.03,44.98,63.28,0.95,
2020-02-04 00:00:00 UTC,5.98,10.12,11.88,60906.00,-89.11,43.19,64.48,10.12,
2020-02-05 00:00:00 UTC,1.19,3.06,6.24,62346.64,-87.79,48.06,75.96,3.06,
2020-02-06 00:00:00 UTC,2.20,4.06,5.67,63786.65,-87.27,53.06,75.74,4.06,
2020-02-07 00:00:00 UTC,2.42,4.39,5.95,65226.00,-86.99,50.89,75.62,4.39,
2020-02-08 00:00:00 UTC,0.34,1.36,3.03,66665.26,-86.78,50.19,70.74,1.36,
2020-02-09 00:00:00 UTC,1.69,3.22,4.39,68105.17,-88.36,48.18,64.76,3.22,
2020-02-10 00:00:00 UTC,9.60,15.89,18.03,69544.67,-88.13,48.57,62.39,15.88,
2020-02-11 00:00:00 UTC,8.80,15.01,17.54,64920.33,-87.84,47.91,67.39,14.87,
2020-02-12 00:00:00 UTC,6.41,10.42,11.99,842.00,-87.70,52.11,67.74,10.42,
2020-02-13 00:00:00 UTC,6.06,10.29,11.75,2282.02,-87.98,50.10,68.14,10.27,
2020-02-14 00:00:00 UTC,0.33,0.93,1.88,3722.07,-88.98,48.58,67.35,0.93,
2020-02-15 00:00:00 UTC,0.31,1.12,2.25,5160.81,-88.48,48.96,70.02,1.12,
2020-02-16 00:00:00 UTC,0.88,1.97,3.19,6603.01,-87.25,48.67,70.60,1.97,
2020-02-17 00:00:00 UTC,1.91,3.61,5.01,8041.37,-88.27,47.64,65.02,3.61,
2020-02-18 00:00:00 UTC,2.26,3.97,4.97,9487.75,-89.66,45.25,59.99,3.93,
2020-02-19 00:00:00 UTC,2.28,4.10,5.04,10922.08,-89.52,45.90,57.69,4.10,
2020-02-20 00:00:00 UTC,2.31,3.83,4.67,12361.86,-89.55,49.57,42.61,3.83,
2020-02-21 00:00:00 UTC,6.48,10.90,12.72,13802.13,-88.88,50.00,55.79,10.90,
2020-02-22 00:00:00 UTC,2.64,4.28,5.22,15241.60,-87.82,51.36,60.09,4.28,
2020-02-23 00:00:00 UTC,5.10,8.68,10.42,16682.07,-88.53,50.61,65.30,8.67,
2020-02-24 00:00:00 UTC,0.65,2.23,4.62,18122.09,-87.38,48.91,57.39,2.23,
2020-02-25 00:00:00 UTC,3.22,5.98,8.39,19562.09,-88.05,49.62,54.61,5.98,
2020-02-26 00:00:00 UTC,4.29,7.17,8.88,21002.04,-87.39,53.38,60.77,7.17,
2020-02-27 00:00:00 UTC,3.57,5.82,7.11,22442.81,-87.61,53.46,59.26,5.81,
2020-02-28 00:00:00 UTC,4.73,8.84,10.96,23882.06,-88.25,50.78,65.78,8.77,
2020-02-29 00:00:00 UTC,0.14,0.60,1.45,25322.05,-88.39,49.61,67.02,0.60,
2020-03-01 00:00:00 UTC,5.03,8.31,9.83,26762.06,-86.90,48.07,61.33,8.31,
2020-03-02 00:00:00 UTC,1.97,3.58,4.84,28202.06,-88.06,49.30,65.08,3.58,
2020-03-03 00:00:00 UTC,0.20,0.52,1.06,29640.71,-89.53,52.97,70.86,0.52,
2020-03-04 00:00:00 UTC,0.46,1.80,3.86,30197.66,-87.51,51.90,60.48,1.80,
2020-03-05 00:00:00 UTC,2.75,5.07,6.94,761.00,-86.96,52.49,52.49,5.07,
2020-03-06 00:00:00 UTC,0.24,0.54,0.93,2201.20,-87.55,49.31,70.03,0.54,
2020-03-07 00:00:00 UTC,2.25,3.99,4.90,3640.40,-87.74,48.08,67.30,3.99,
2020-03-08 00:00:00 UTC,1.31,2.22,2.68,5081.00,-88.64,47.26,65.31,2.22
2020-03-09 00:00:00 UTC,3.65,6.33,7.42,6521.75,-87.54,45.48,60.79,6.33,
2020-03-09 00:00:00 UTC,3.65,6.33,7.42,6521.75,-87.54,45.48,60.79,6.33
2020-03-10 00:00:00 UTC,3.21,5.30,6.29,7961.00,-87.79,48.82,52.93,5.26,
2020-03-10 00:00:00 UTC,3.21,5.30,6.29,7961.00,-87.79,48.82,52.93,5.26
2020-03-11 00:00:00 UTC,0.20,0.79,1.60,9401.00,-88.65,51.94,60.48,0.79,
2020-03-11 00:00:00 UTC,0.20,0.79,1.60,9401.00,-88.65,51.94,60.48,0.79
2020-03-12 00:00:00 UTC,1.28,2.71,4.29,10840.93,-88.04,50.51,58.16,2.71,
2020-03-12 00:00:00 UTC,1.28,2.71,4.29,10840.93,-88.04,50.51,58.16,2.71
2020-03-13 00:00:00 UTC,1.77,3.18,4.28,9664.40,-86.53,46.80,62.14,3.18,
2020-03-13 00:00:00 UTC,1.77,3.18,4.28,9664.40,-86.53,46.80,62.14,3.18
