created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-01-01 00:00:00 UTC,3.36,6.51,7.60,21499.99,-76.72,58.23,63.95,5.81,
2020-01-02 00:00:00 UTC,4.90,7.60,9.09,8608.34,-73.42,52.21,58.95,7.25,
2020-01-03 00:00:00 UTC,7.58,11.00,12.23,1549.13,-71.68,55.56,65.22,10.20,
2020-01-04 00:00:00 UTC,3.95,6.06,7.25,2988.32,-71.81,53.21,58.56,5.82,
2020-01-05 00:00:00 UTC,6.71,9.13,10.10,4430.60,-72.40,50.98,60.80,8.78,
2020-01-06 00:00:00 UTC,7.98,11.00,12.29,5866.22,-70.92,52.02,66.15,10.60,
2020-01-07 00:00:00 UTC,1.35,2.71,3.23,7301.89,-70.93,57.44,67.29,2.65,
2020-01-08 00:00:00 UTC,4.62,5.47,5.97,8747.01,-70.48,52.04,59.96,4.80,
2020-01-09 00:00:00 UTC,17.05,24.95,27.34,10185.95,-69.74,45.00,64.77,23.58,
2020-01-10 00:00:00 UTC,11.86,18.01,19.76,11629.86,-69.51,45.77,65.71,17.85,
2020-01-11 00:00:00 UTC,9.03,10.13,10.71,13066.19,-70.65,51.40,64.45,8.90,
2020-01-12 00:00:00 UTC,4.06,7.18,8.62,14507.70,-72.04,49.18,61.29,6.76,
2020-01-13 00:00:00 UTC,4.27,7.58,9.08,15950.76,-73.50,43.79,58.72,7.45,
2020-01-14 00:00:00 UTC,8.59,11.76,12.87,17391.71,-71.69,37.87,62.40,11.74,
2020-01-15 00:00:00 UTC,3.65,5.24,5.97,18830.54,-74.00,41.81,50.14,4.92,
2020-01-16 00:00:00 UTC,2.06,3.68,4.45,20270.10,-72.17,47.46,48.63,3.61,
2020-01-17 00:00:00 UTC,7.65,11.53,12.99,21707.10,-73.40,45.27,58.04,11.47,
2020-01-18 00:00:00 UTC,2.79,4.38,5.04,23156.45,-73.42,50.03,58.06,4.30,
2020-01-19 00:00:00 UTC,5.10,8.24,9.24,20175.87,-76.15,55.15,54.44,8.16,
2020-01-20 00:00:00 UTC,13.13,20.35,22.41,614.99,-73.78,55.54,55.69,19.31,
2020-01-21 00:00:00 UTC,11.37,18.17,20.23,1948.36,-73.58,53.97,61.01,17.20,
2020-01-22 00:00:00 UTC,4.88,6.91,8.05,3384.70,-70.96,52.13,65.01,6.65,
2020-01-23 00:00:00 UTC,4.17,5.89,6.44,1895.71,-70.03,57.90,67.66,5.89,
2020-01-24 00:00:00 UTC,3.18,6.05,7.11,1593.27,-72.22,57.81,68.12,5.77,
2020-01-25 00:00:00 UTC,5.90,9.48,10.66,3033.00,-73.54,56.24,67.40,9.26,
2020-01-26 00:00:00 UTC,5.42,8.90,10.02,4472.39,-74.88,56.24,64.78,8.74,
2020-01-27 00:00:00 UTC,3.48,6.16,7.24,5915.91,-72.17,54.50,59.30,6.07,
2020-01-28 00:00:00 UTC,1.71,3.06,3.65,7358.31,-72.95,55.30,64.53,2.99,
2020-01-29 00:00:00 UTC,5.44,9.21,10.45,8794.86,-71.49,55.84,65.61,8.93,
2020-01-30 00:00:00 UTC,11.42,19.01,20.86,10235.13,-70.46,54.73,65.03,18.70,
2020-01-31 00:00:00 UTC,3.89,6.30,7.04,11671.23,-71.86,57.77,70.73,6.19,
2020-02-01 00:00:00 UTC,1.43,3.11,3.81,13113.89,-71.66,59.19,65.13,3.01,
2020-02-02 00:00:00 UTC,4.43,6.68,7.73,14555.38,-71.42,46.75,58.17,6.47,
2020-02-03 00:00:00 UTC,10.24,15.18,16.63,15995.20,-70.44,47.15,56.97,14.88,
2020-02-04 00:00:00 UTC,8.94,13.55,14.99,17432.89,-72.14,44.04,60.47,13.50,
2020-02-05 00:00:00 UTC,8.79,11.30,12.08,18873.40,-67.62,50.83,68.86,10.24,
2020-02-06 00:00:00 UTC,4.92,9.89,11.48,20311.29,-70.20,57.07,68.26,9.16,
2020-02-07 00:00:00 UTC,8.75,14.13,15.49,21750.95,-69.46,54.12,69.51,13.69,
2020-02-08 00:00:00 UTC,9.17,10.52,11.35,23192.15,-70.17,52.39,63.36,9.32,
2020-02-09 00:00:00 UTC,9.31,12.68,13.83,24630.69,-69.30,49.93,59.20,12.24,
2020-02-10 00:00:00 UTC,22.55,31.53,34.16,26072.00,-67.50,49.81,57.66,28.77,
2020-02-11 00:00:00 UTC,18.02,27.13,29.75,27513.39,-67.45,48.71,61.16,25.98,
2020-02-12 00:00:00 UTC,12.87,21.10,23.48,28956.83,-69.42,54.36,63.90,20.42,
2020-02-13 00:00:00 UTC,13.67,20.47,22.40,30392.22,-70.34,51.86,62.03,19.66,
2020-02-14 00:00:00 UTC,9.95,12.97,14.25,31833.62,-71.26,52.75,56.82,11.86,
2020-02-15 00:00:00 UTC,11.59,14.56,15.70,33269.56,-67.75,51.60,61.62,13.84,
2020-02-16 00:00:00 UTC,3.26,5.44,6.53,34720.02,-68.41,51.25,61.56,5.31,
2020-02-17 00:00:00 UTC,7.50,11.45,13.08,36152.42,-70.74,49.83,57.12,10.74,
2020-02-18 00:00:00 UTC,6.48,8.77,9.65,37593.16,-70.69,46.75,55.22,8.39,
2020-02-19 00:00:00 UTC,8.67,13.32,14.88,39035.86,-69.41,47.31,51.69,13.26,
2020-02-20 00:00:00 UTC,11.15,17.46,19.74,21058.47,-67.28,50.88,38.29,16.87,
2020-02-21 00:00:00 UTC,16.67,25.28,28.18,1394.46,-67.43,51.70,47.14,24.60,
2020-02-22 00:00:00 UTC,9.96,14.89,16.48,2833.64,-66.30,53.77,52.72,14.35,
2020-02-23 00:00:00 UTC,14.22,19.89,21.58,4276.00,-65.91,53.02,58.52,18.45,
2020-02-24 00:00:00 UTC,12.53,17.74,19.90,1315.25,-69.23,51.14,51.08,15.73,
2020-02-25 00:00:00 UTC,9.85,15.88,18.33,1935.00,-70.27,51.80,48.46,15.47,
2020-02-26 00:00:00 UTC,7.34,12.09,13.67,3375.75,-69.09,57.28,52.78,11.82,
2020-02-27 00:00:00 UTC,10.81,16.51,18.59,4814.89,-67.06,56.09,51.65,15.34,
2020-02-28 00:00:00 UTC,12.77,21.13,24.01,6244.62,-68.48,53.11,58.47,20.12,
2020-02-29 00:00:00 UTC,4.83,7.71,8.96,7712.27,-66.04,52.56,58.26,7.40,
2020-03-01 00:00:00 UTC,13.14,19.41,21.33,9136.86,-65.64,48.63,58.64,18.61,
2020-03-02 00:00:00 UTC,11.17,15.29,16.62,10574.43,-66.42,51.76,57.28,14.40,
2020-03-03 00:00:00 UTC,2.99,6.59,7.81,12010.31,-65.26,56.37,62.00,6.47,
2020-03-04 00:00:00 UTC,3.93,7.34,9.07,12792.13,-68.44,54.23,55.38,7.17,
2020-03-05 00:00:00 UTC,8.12,13.98,16.22,402.21,-69.72,54.99,46.23,13.47,
2020-03-06 00:00:00 UTC,5.01,8.60,9.87,1577.35,-66.79,53.01,59.98,8.30,
2020-03-07 00:00:00 UTC,17.97,25.75,27.64,3025.18,-67.61,51.39,59.67,23.16,
2020-03-08 00:00:00 UTC,24.13,28.60,29.78,4446.83,-69.16,49.77,57.33,23.17
2020-03-09 00:00:00 UTC,11.21,17.17,18.98,3293.77,-67.62,47.43,53.55,16.60,
2020-03-09 00:00:00 UTC,11.21,17.17,18.98,3293.77,-67.62,47.43,53.55,16.60
2020-03-10 00:00:00 UTC,8.94,14.66,16.62,907.35,-66.98,50.39,47.29,14.18,
2020-03-10 00:00:00 UTC,8.94,14.66,16.62,907.35,-66.98,50.39,47.29,14.18
2020-03-11 00:00:00 UTC,3.64,5.53,6.29,1356.12,-72.08,54.46,52.31,5.29,
