created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-01-01 00:00:00 UTC,0.13,0.41,0.70,2979.00,-59.76,59.26,59.78,0.41,
2020-01-02 00:00:00 UTC,0.89,1.76,2.54,4426.78,-59.91,52.81,58.96,1.75,
2020-01-03 00:00:00 UTC,1.63,2.49,2.98,5859.76,-59.76,56.91,58.92,2.49,
2020-01-04 00:00:00 UTC,0.47,0.90,1.35,7299.00,-59.65,54.68,52.79,0.90,
2020-01-05 00:00:00 UTC,0.63,1.06,1.41,8739.00,-59.80,53.00,54.82,1.06,
2020-01-06 00:00:00 UTC,0.17,0.43,0.71,10179.51,-60.20,53.03,61.34,0.43,
2020-01-07 00:00:00 UTC,0.45,0.86,1.21,11619.00,-59.85,58.22,62.75,0.65,
2020-01-08 00:00:00 UTC,0.22,0.48,0.78,13058.42,-60.51,53.16,55.63,0.46,
2020-01-09 00:00:00 UTC,7.13,10.57,11.87,14486.57,-60.52,48.13,56.61,10.57,
2020-01-10 00:00:00 UTC,5.92,9.62,11.00,7670.65,-59.92,48.39,59.02,9.62,
2020-01-11 00:00:00 UTC,0.40,0.86,1.66,1413.00,-60.09,52.72,60.01,0.86,
2020-01-12 00:00:00 UTC,0.36,0.75,1.08,736.41,-60.11,49.93,57.63,0.75,
2020-01-13 00:00:00 UTC,1.68,2.90,3.67,2105.68,-61.41,44.21,57.15,2.90,
2020-01-14 00:00:00 UTC,3.51,5.60,6.65,3545.00,-62.06,38.52,59.22,5.60,
2020-01-15 00:00:00 UTC,1.17,2.06,2.66,4985.70,-61.29,43.66,49.82,1.91,
2020-01-16 00:00:00 UTC,0.61,1.17,1.58,6425.00,-61.18,49.95,46.08,1.17,
2020-01-17 00:00:00 UTC,2.84,4.36,5.14,7865.00,-60.73,47.90,53.20,4.35,
2020-01-18 00:00:00 UTC,1.31,2.00,2.35,9305.00,-61.05,50.85,55.65,1.99,
2020-01-19 00:00:00 UTC,2.76,4.02,4.56,10746.82,-61.18,56.85,50.90,4.02,
2020-01-20 00:00:00 UTC,10.26,14.83,16.39,12185.00,-60.84,56.21,56.67,14.60,
2020-01-21 00:00:00 UTC,6.24,9.16,10.20,13625.00,-60.80,55.24,56.08,9.15,
2020-01-22 00:00:00 UTC,0.73,1.37,1.86,6085.22,-60.42,53.43,60.24,1.35,
2020-01-23 00:00:00 UTC,3.62,5.25,5.85,1565.13,-60.72,58.96,62.06,5.09,
2020-01-24 00:00:00 UTC,1.59,2.46,2.92,1331.90,-61.06,61.03,61.88,2.25,
2020-01-25 00:00:00 UTC,2.06,3.26,3.80,1522.93,-61.13,57.28,62.00,3.25,
2020-01-26 00:00:00 UTC,2.64,3.79,4.37,2964.44,-62.08,57.85,58.32,3.78,
2020-01-27 00:00:00 UTC,0.92,1.60,2.17,4403.91,-60.88,55.89,54.28,1.60,
2020-01-28 00:00:00 UTC,0.75,1.24,1.55,5843.00,-60.02,56.31,59.52,1.23,
2020-01-29 00:00:00 UTC,2.30,3.46,3.97,1318.33,-60.77,57.16,59.59,3.40,
2020-01-30 00:00:00 UTC,9.31,15.37,17.48,1956.63,-60.47,54.50,62.17,15.30,
2020-01-31 00:00:00 UTC,1.43,2.10,2.42,3402.64,-60.90,58.68,65.96,2.10,
2020-02-01 00:00:00 UTC,0.16,0.51,0.87,4840.05,-58.94,58.27,63.73,0.51,
2020-02-02 00:00:00 UTC,1.76,2.98,3.74,6282.38,-59.68,48.03,57.10,2.98,
2020-02-03 00:00:00 UTC,1.57,2.48,2.99,7721.00,-59.98,49.84,49.88,2.48,
2020-02-04 00:00:00 UTC,6.86,9.98,11.29,9160.94,-60.13,46.83,54.38,9.92,
2020-02-05 00:00:00 UTC,2.75,3.94,4.38,10602.74,-59.59,52.48,62.30,3.93,
