created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-01-01 00:00:00 UTC,5283.07,5283.07,5283.07,51717.00,-60.74,58.04,63.86,3521.44,
2020-01-02 00:00:00 UTC,5636.42,5636.42,5636.42,53157.00,-62.27,51.04,62.19,3757.17,
2020-01-03 00:00:00 UTC,5490.33,5490.33,5490.33,54598.52,-61.29,54.20,65.46,3659.70,
2020-01-04 00:00:00 UTC,5564.39,5564.39,5564.39,56037.72,-61.66,53.27,56.84,3709.15,
2020-01-05 00:00:00 UTC,5730.57,5730.57,5730.57,57477.00,-61.70,50.11,62.94,3820.06,
2020-01-06 00:00:00 UTC,5675.23,5675.23,5675.23,58917.00,-61.29,50.93,68.06,3783.03,
2020-01-07 00:00:00 UTC,5419.37,5419.37,5419.37,60357.00,-62.57,56.02,69.69,3612.43,
2020-01-08 00:00:00 UTC,5617.15,5617.15,5617.15,61797.00,-63.68,52.02,59.69,3744.35,
2020-01-09 00:00:00 UTC,5976.46,5976.46,5976.46,63238.54,-63.60,45.35,63.42,3983.77,
2020-01-10 00:00:00 UTC,6048.35,6048.35,6048.35,64677.10,-63.30,44.03,69.10,4031.69,
2020-01-11 00:00:00 UTC,5633.22,5633.22,5633.22,66124.65,-62.75,50.65,66.04,3755.11,
2020-01-12 00:00:00 UTC,5733.23,5733.23,5733.23,67557.00,-63.16,48.65,61.59,3821.70,
2020-01-13 00:00:00 UTC,6070.13,6070.13,6070.13,68997.77,-60.62,43.56,58.94,4046.20,
2020-01-14 00:00:00 UTC,6406.77,6406.77,6406.77,70437.00,-59.22,39.01,59.61,4270.61,
2020-01-15 00:00:00 UTC,6269.62,6269.62,6269.62,21470.64,-59.98,40.99,52.44,4179.19,
2020-01-16 00:00:00 UTC,5904.18,5904.18,5904.18,1734.00,-59.17,46.83,50.49,3935.62,
2020-01-17 00:00:00 UTC,5917.07,5917.07,5917.07,3174.00,-58.80,46.08,57.37,3944.24,
2020-01-18 00:00:00 UTC,5863.54,5863.54,5863.54,4614.00,-59.19,47.22,63.19,3908.50,
2020-01-19 00:00:00 UTC,5489.69,5489.69,5489.69,6054.00,-60.04,53.58,56.51,3659.29,
2020-01-20 00:00:00 UTC,5312.04,5312.04,5312.04,7495.00,-59.62,57.15,51.33,3540.68,
2020-01-21 00:00:00 UTC,5424.29,5424.29,5424.29,8935.00,-60.90,54.58,57.20,3615.67,
