created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-01-01 00:00:00 UTC,0.27,0.53,0.60,35653.01,-65.44,60.67,54.55,0.52,
2020-01-02 00:00:00 UTC,1.64,2.99,3.30,37094.00,-65.43,54.02,53.16,2.88,
2020-01-03 00:00:00 UTC,1.51,2.23,2.36,38533.07,-65.86,58.42,53.06,2.22,
2020-01-04 00:00:00 UTC,0.28,0.60,0.71,39973.00,-65.60,56.76,46.18,0.60,
2020-01-05 00:00:00 UTC,1.58,2.47,2.63,41413.55,-65.75,54.03,50.29,2.42,
2020-01-06 00:00:00 UTC,0.14,0.40,0.48,42852.11,-66.08,54.77,53.55,0.40,
2020-01-07 00:00:00 UTC,0.18,0.29,0.31,44293.65,-66.37,59.59,56.25,0.29,
2020-01-08 00:00:00 UTC,0.04,0.21,0.28,45733.69,-65.37,56.03,47.79,0.21,
2020-01-09 00:00:00 UTC,3.59,5.61,5.94,40086.33,-65.40,48.91,50.83,5.59,
2020-01-10 00:00:00 UTC,3.98,6.11,6.45,843.33,-63.55,48.73,53.26,6.09,
2020-01-11 00:00:00 UTC,0.40,0.76,0.85,2288.21,-63.31,53.75,54.84,0.76,
2020-01-12 00:00:00 UTC,0.52,0.96,1.07,3727.00,-64.26,51.18,52.12,0.96,
2020-01-13 00:00:00 UTC,1.73,2.95,3.22,5167.00,-63.88,45.92,51.40,2.95,
2020-01-14 00:00:00 UTC,4.70,7.01,7.41,6606.53,-63.04,41.84,48.31,7.01,
2020-01-15 00:00:00 UTC,1.20,1.93,2.08,8048.66,-63.94,43.95,45.42,1.93,
2020-01-16 00:00:00 UTC,2.54,3.80,4.03,9487.23,-63.72,49.03,42.60,3.78,
2020-01-17 00:00:00 UTC,2.12,3.32,3.55,10926.19,-66.28,47.79,47.85,3.32,
2020-01-18 00:00:00 UTC,1.00,1.48,1.57,12367.00,-65.18,50.65,49.92,1.48,
2020-01-19 00:00:00 UTC,1.50,2.18,2.30,13806.79,-65.78,56.42,46.66,2.18,
