created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-01-01 00:00:00 UTC,0.47,0.95,1.18,803.00,-75.06,57.90,62.93,0.95,
2020-01-02 00:00:00 UTC,1.07,2.19,2.77,2243.00,-76.66,53.51,57.90,2.19,
2020-01-03 00:00:00 UTC,1.40,2.19,2.49,3682.00,-76.62,56.92,58.97,2.19,
2020-01-04 00:00:00 UTC,1.22,2.15,2.58,5118.12,-73.72,53.20,55.38,2.10,
2020-01-05 00:00:00 UTC,0.88,1.45,1.70,6563.17,-75.13,52.64,55.13,1.45,
2020-01-06 00:00:00 UTC,0.28,0.72,0.97,8001.00,-74.83,51.94,63.72,0.72,
2020-01-07 00:00:00 UTC,0.14,0.28,0.36,9441.00,-74.80,57.12,66.11,0.28,
2020-01-08 00:00:00 UTC,0.16,0.56,0.81,10881.00,-74.03,52.07,57.88,0.56,
2020-01-09 00:00:00 UTC,6.99,10.24,10.90,12321.00,-74.11,48.76,54.82,10.24,
2020-01-10 00:00:00 UTC,5.79,9.13,9.77,13761.00,-75.97,48.96,57.10,9.10,
2020-01-11 00:00:00 UTC,2.17,3.41,3.82,15201.00,-76.36,52.63,60.88,3.31,
2020-01-12 00:00:00 UTC,0.75,1.38,1.68,16641.00,-74.89,48.82,59.88,1.36,
2020-01-13 00:00:00 UTC,2.20,3.50,4.02,18081.00,-70.65,44.94,55.29,3.50,
2020-01-14 00:00:00 UTC,3.62,5.60,6.17,19521.00,-67.50,41.19,53.13,5.60,
2020-01-15 00:00:00 UTC,1.72,2.73,3.11,19443.44,-70.11,43.64,47.80,4.77,
2020-01-16 00:00:00 UTC,0.98,1.70,1.98,797.00,-68.02,49.82,45.25,1.70,
2020-01-17 00:00:00 UTC,3.23,4.83,5.35,2237.00,-66.65,47.67,52.88,4.83,
2020-01-18 00:00:00 UTC,1.50,2.21,2.42,3677.00,-68.44,51.88,54.13,2.21,
2020-01-19 00:00:00 UTC,3.80,5.28,5.57,5117.00,-71.64,57.41,50.57,5.28,
2020-01-20 00:00:00 UTC,7.34,10.41,11.01,6557.00,-69.57,58.03,51.97,10.29,
2020-01-21 00:00:00 UTC,4.79,6.89,7.34,7997.00,-69.15,55.64,54.30,6.89,
2020-01-22 00:00:00 UTC,0.63,1.38,1.76,9437.00,-69.28,53.05,61.30,1.38,
2020-01-23 00:00:00 UTC,2.01,2.88,3.10,10877.00,-71.83,59.51,62.24,2.88,
