created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-01-01 00:00:00 UTC,0.01,0.28,0.75,29605.00,-62.88,57.87,63.27,0.28,
2020-01-02 00:00:00 UTC,0.17,1.19,2.43,31045.00,-64.10,52.22,59.05,1.19,
2020-01-03 00:00:00 UTC,0.03,0.22,0.44,32485.00,-63.08,57.54,57.05,0.22,
2020-01-04 00:00:00 UTC,0.17,0.85,1.59,33925.00,-62.99,53.96,54.87,0.85,
2020-01-05 00:00:00 UTC,0.64,1.31,1.75,35365.00,-66.31,51.72,56.47,1.29,
2020-01-06 00:00:00 UTC,1.03,1.90,2.36,36805.00,-63.64,52.40,61.93,1.85,
2020-01-07 00:00:00 UTC,0.02,0.07,0.14,38245.00,-65.01,57.91,63.68,0.07,
2020-01-08 00:00:00 UTC,0.04,0.55,1.13,39685.00,-62.77,52.13,58.51,0.55,
2020-01-09 00:00:00 UTC,17.58,19.15,19.62,41125.00,-63.15,46.45,58.98,17.42,
2020-01-10 00:00:00 UTC,1.95,2.50,2.69,42565.00,-61.48,47.47,59.40,2.47,
2020-01-11 00:00:00 UTC,0.23,0.87,1.55,44005.00,-63.65,51.59,62.18,0.87,
2020-01-12 00:00:00 UTC,0.43,1.16,1.83,45445.00,-62.01,48.65,60.36,1.16,
2020-01-13 00:00:00 UTC,5.27,7.11,8.24,46885.00,-63.61,44.24,55.82,6.61,
2020-01-14 00:00:00 UTC,4.94,7.91,8.91,48325.00,-61.74,40.63,55.76,7.90,
2020-01-15 00:00:00 UTC,4.56,5.20,5.56,49765.00,-64.51,43.38,47.19,4.90,
2020-01-16 00:00:00 UTC,3.28,3.90,4.35,51205.00,-63.74,48.65,46.90,3.84,
2020-01-17 00:00:00 UTC,11.74,14.69,15.33,52645.00,-62.52,46.71,52.18,14.32,
2020-01-18 00:00:00 UTC,0.01,0.10,0.21,54085.00,-63.52,50.95,54.28,0.10,
2020-01-19 00:00:00 UTC,0.44,0.88,1.08,55525.00,-65.89,57.64,51.97,0.88,
2020-01-20 00:00:00 UTC,1.27,2.18,2.53,56965.00,-62.82,58.37,46.27,2.18,
2020-01-21 00:00:00 UTC,0.39,0.81,1.00,58405.00,-63.88,57.27,49.23,0.81,
2020-01-22 00:00:00 UTC,0.59,1.19,1.67,59845.00,-62.75,52.94,61.35,1.15,
2020-01-23 00:00:00 UTC,0.22,0.97,0.79,61277.14,-64.23,59.50,62.15,0.35,
2020-01-24 00:00:00 UTC,0.04,0.22,0.45,62725.00,-68.82,58.41,63.16,0.22,
2020-01-25 00:00:00 UTC,0.15,0.42,0.66,64165.00,-67.63,56.63,63.50,0.42,
2020-01-26 00:00:00 UTC,0.95,1.70,2.13,65605.00,-64.61,56.99,60.17,1.62,
2020-01-27 00:00:00 UTC,0.06,0.45,0.98,67045.00,-65.01,55.28,56.00,0.45,
