created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-01-01 00:00:00 UTC,0.24,0.55,0.70,41424.00,-72.25,56.28,66.11,0.55,
2020-01-02 00:00:00 UTC,1.64,2.73,3.17,42864.00,-70.79,51.11,59.90,2.73,
2020-01-03 00:00:00 UTC,2.46,3.44,3.76,44304.00,-72.44,55.19,61.13,3.44,
2020-01-04 00:00:00 UTC,0.77,1.36,1.62,45744.00,-72.13,51.65,57.38,1.36,
2020-01-05 00:00:00 UTC,1.00,1.59,1.82,47184.00,-71.09,50.61,57.25,1.59,
2020-01-06 00:00:00 UTC,0.47,0.88,1.05,48624.00,-72.43,50.37,66.58,0.88,
2020-01-07 00:00:00 UTC,0.54,0.85,0.96,50064.00,-72.03,55.57,69.01,0.85,
2020-01-08 00:00:00 UTC,0.22,0.51,0.66,51503.81,-69.98,50.39,60.16,0.51,
2020-01-09 00:00:00 UTC,7.91,10.95,11.76,52944.00,-71.73,45.78,59.35,10.95,
2020-01-10 00:00:00 UTC,6.71,9.89,10.76,54384.00,-71.91,46.56,59.93,9.89,
2020-01-11 00:00:00 UTC,0.85,1.47,1.75,55824.00,-71.02,50.47,63.77,1.47,
2020-01-12 00:00:00 UTC,0.37,0.74,0.94,57264.00,-71.52,47.10,61.82,0.74,
2020-01-13 00:00:00 UTC,1.70,2.86,3.32,58704.00,-71.22,41.14,61.74,2.86,
2020-01-14 00:00:00 UTC,3.92,5.80,6.36,60144.00,-71.63,34.64,65.31,5.13,
2020-01-15 00:00:00 UTC,1.09,1.79,2.06,61584.18,-71.32,41.85,49.05,1.75,
2020-01-16 00:00:00 UTC,0.79,1.34,1.57,63024.00,-71.43,48.17,45.90,1.34,
2020-01-17 00:00:00 UTC,4.58,6.35,6.87,64464.00,-70.47,46.00,54.87,6.35,
2020-01-18 00:00:00 UTC,1.67,2.42,2.66,65904.00,-72.21,49.39,55.70,2.42,
2020-01-19 00:00:00 UTC,3.09,4.35,4.69,67344.00,-71.43,56.07,49.76,4.35,
2020-01-20 00:00:00 UTC,4.79,6.58,7.03,68784.00,-71.57,58.02,46.96,6.58,
2020-01-21 00:00:00 UTC,3.91,5.34,5.75,70223.53,-72.85,55.12,52.30,5.33,
2020-01-22 00:00:00 UTC,1.50,2.33,2.64,31796.25,-72.67,51.24,63.83,2.33,
2020-01-23 00:00:00 UTC,3.20,4.33,4.68,1521.00,-74.39,57.56,65.60,4.33,
2020-01-24 00:00:00 UTC,1.46,2.09,2.30,2961.00,-74.02,56.76,66.88,2.09,
2020-01-25 00:00:00 UTC,2.54,3.59,3.90,4401.00,-75.85,56.10,63.92,3.59,
2020-01-26 00:00:00 UTC,2.00,2.92,3.22,5841.00,-75.73,55.96,60.73,2.92,
2020-01-27 00:00:00 UTC,1.36,2.17,2.51,7281.00,-74.45,54.10,56.62,2.17,
2020-01-28 00:00:00 UTC,1.15,1.67,1.87,8721.00,-73.91,54.57,62.02,1.67,
2020-01-29 00:00:00 UTC,3.74,5.11,5.49,10160.60,-73.77,55.34,62.89,5.11,
2020-01-30 00:00:00 UTC,9.92,14.75,16.05,3629.53,-74.26,54.20,63.13,14.75,
2020-01-31 00:00:00 UTC,2.53,3.48,3.75,1720.00,-73.93,56.36,71.99,3.48,
2020-02-01 00:00:00 UTC,0.48,0.89,1.07,3160.00,-74.00,56.11,69.28,0.89,
2020-02-02 00:00:00 UTC,2.32,3.60,4.06,4600.00,-72.35,46.52,56.46,3.60,
2020-02-03 00:00:00 UTC,1.51,2.29,2.55,6040.00,-74.18,45.43,54.91,2.29,
2020-02-04 00:00:00 UTC,6.68,9.20,9.89,7480.00,-73.33,44.90,54.17,9.20,
2020-02-05 00:00:00 UTC,4.80,6.33,6.75,8920.00,-73.18,49.66,67.73,6.33,
2020-02-06 00:00:00 UTC,3.87,6.01,6.72,10360.00,-72.75,54.52,70.54,6.01,
2020-02-07 00:00:00 UTC,7.22,12.46,14.39,11800.00,-73.00,51.94,71.44,13.12,
2020-02-08 00:00:00 UTC,0.67,1.46,1.86,13240.00,-71.93,50.83,63.33,1.46,
2020-02-09 00:00:00 UTC,3.16,4.72,5.21,14680.00,-71.75,48.36,59.79,4.72,
2020-02-10 00:00:00 UTC,11.67,15.58,16.53,16120.00,-70.06,50.60,52.72,15.58,
2020-02-11 00:00:00 UTC,11.55,15.91,17.05,17560.00,-72.25,49.69,57.62,15.91,
2020-02-12 00:00:00 UTC,10.42,14.59,15.64,19000.00,-71.39,53.21,61.66,14.59,
2020-02-13 00:00:00 UTC,9.10,12.75,13.65,20440.00,-71.98,51.79,58.69,12.75,
2020-02-14 00:00:00 UTC,0.73,1.29,1.54,21880.72,-71.22,50.04,58.20,1.29,
2020-02-15 00:00:00 UTC,1.25,2.13,2.49,15798.40,-70.08,50.27,60.43,2.13,
2020-02-16 00:00:00 UTC,1.54,2.49,2.85,1179.00,-71.26,50.68,58.94,2.49,
