created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-01-01 00:00:00 UTC,0.20,0.50,0.70,281.97,-88.39,60.06,63.58,0.50,
2020-01-02 00:00:00 UTC,0.39,0.96,1.38,389.74,-89.11,53.70,62.64,0.96,
2020-01-03 00:00:00 UTC,1.16,1.92,2.30,140.84,-88.28,57.83,63.56,1.92,
2020-01-04 00:00:00 UTC,0.63,1.16,1.55,417.81,-87.55,55.66,55.00,1.16,
2020-01-05 00:00:00 UTC,0.65,1.21,1.52,130.06,-60.58,53.31,58.02,1.21,
2020-01-06 00:00:00 UTC,0.22,0.44,0.66,290.32,-75.20,54.38,63.71,0.44,
2020-01-07 00:00:00 UTC,0.11,0.29,0.41,150.79,-85.60,59.60,66.51,0.29,
2020-01-08 00:00:00 UTC,0.16,0.40,0.61,99.66,-56.18,54.84,56.72,0.40,
2020-01-09 00:00:00 UTC,5.16,7.93,8.96,106.42,-88.34,48.25,59.96,7.93,
2020-01-10 00:00:00 UTC,3.47,5.71,6.58,90.56,-86.56,48.98,62.23,5.71,
2020-01-11 00:00:00 UTC,0.38,0.84,1.17,345.36,-11.02,53.92,63.50,0.84,
2020-01-12 00:00:00 UTC,0.41,0.80,1.10,148.88,-88.03,51.10,59.29,0.80,
2020-01-13 00:00:00 UTC,1.25,2.42,3.02,181.34,-78.67,45.76,56.70,2.42,
2020-01-14 00:00:00 UTC,2.61,4.45,5.17,116.83,-87.07,41.54,56.31,4.45,
2020-01-15 00:00:00 UTC,0.84,1.42,1.77,186.03,-84.10,45.20,47.46,1.42,
2020-01-16 00:00:00 UTC,0.26,0.60,0.80,199.07,-87.28,50.61,47.29,0.60,
2020-01-17 00:00:00 UTC,2.74,4.45,5.16,112.33,-86.45,48.00,54.88,4.45,
2020-01-18 00:00:00 UTC,0.57,0.98,1.21,115.81,-88.10,52.49,57.13,0.98,
2020-01-19 00:00:00 UTC,1.31,2.35,2.77,679.67,-87.16,57.55,54.56,2.35,
2020-01-20 00:00:00 UTC,5.69,8.44,9.46,317.29,-87.57,57.77,56.02,8.44,
2020-01-21 00:00:00 UTC,4.12,6.12,6.86,464.43,-78.78,55.73,59.25,6.12,
2020-01-22 00:00:00 UTC,0.23,0.52,0.79,54.65,-82.91,54.51,62.99,0.52,
2020-01-23 00:00:00 UTC,0.74,1.30,1.56,87.97,-83.59,59.30,67.64,1.30,
2020-01-24 00:00:00 UTC,0.34,0.61,0.81,131.74,-87.70,59.44,68.01,0.61,
