created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-01-01 00:00:00 UTC,0.35,0.70,0.99,32197.03,-77.59,54.05,74.36,0.70,
2020-01-02 00:00:00 UTC,0.60,1.45,2.25,1237.00,-75.90,47.71,72.67,1.45,
2020-01-03 00:00:00 UTC,1.05,1.70,2.03,2677.00,-76.74,52.12,72.03,1.70,
2020-01-04 00:00:00 UTC,0.52,1.05,1.55,4117.00,-75.67,49.43,65.58,1.05,
2020-01-05 00:00:00 UTC,0.59,1.08,1.42,5557.00,-75.12,47.40,69.03,1.08,
2020-01-06 00:00:00 UTC,0.25,0.61,0.91,6997.00,-75.90,48.08,75.13,0.61,
2020-01-07 00:00:00 UTC,0.16,0.27,0.35,8437.00,-76.59,53.34,77.06,0.27,
2020-01-08 00:00:00 UTC,0.12,0.41,0.71,9877.00,-78.18,48.75,67.51,0.41,
2020-01-09 00:00:00 UTC,6.62,10.00,11.04,11317.00,-79.05,43.11,69.48,10.00,
2020-01-10 00:00:00 UTC,4.51,7.55,8.54,12757.00,-78.28,42.91,73.63,7.53,
2020-01-11 00:00:00 UTC,0.32,0.84,1.26,14197.43,-77.84,47.47,75.55,0.84,
2020-01-12 00:00:00 UTC,0.69,1.34,1.80,15637.00,-77.57,44.23,72.38,1.32,
2020-01-13 00:00:00 UTC,2.67,4.53,5.48,17077.00,-76.94,39.57,70.36,4.53,
2020-01-14 00:00:00 UTC,3.63,5.85,6.80,18517.00,-75.93,35.52,67.22,5.85,
2020-01-15 00:00:00 UTC,1.23,2.16,2.69,18505.58,-75.92,37.60,61.97,2.16,
2020-01-16 00:00:00 UTC,0.26,0.63,0.92,812.30,-77.10,44.01,57.65,0.63,
2020-01-17 00:00:00 UTC,5.07,7.75,8.92,2253.00,-77.27,41.65,66.65,7.61,
2020-01-18 00:00:00 UTC,0.78,1.23,1.47,3693.00,-77.41,46.05,67.28,1.23,
2020-01-19 00:00:00 UTC,2.48,3.55,3.90,5133.00,-77.80,52.39,62.46,3.55,
2020-01-20 00:00:00 UTC,4.65,6.65,7.27,6573.00,-77.84,53.24,61.18,6.65,
2020-01-21 00:00:00 UTC,3.18,4.65,5.17,8013.00,-77.92,50.62,67.07,4.65,
2020-01-22 00:00:00 UTC,0.18,0.60,0.99,9453.00,-74.98,48.14,74.58,0.60,
2020-01-23 00:00:00 UTC,1.19,1.72,1.95,10893.00,-76.19,53.49,76.89,1.72,
2020-01-24 00:00:00 UTC,0.44,0.86,1.10,12333.00,-76.14,55.29,77.33,0.86,
2020-01-25 00:00:00 UTC,1.95,3.00,3.42,13773.00,-76.41,51.98,76.10,3.00,
2020-01-26 00:00:00 UTC,1.94,2.91,3.38,15213.00,-76.43,52.60,72.46,2.91,
2020-01-27 00:00:00 UTC,0.67,1.31,1.82,16653.00,-76.62,50.52,68.17,1.31,
2020-01-28 00:00:00 UTC,0.52,0.87,1.07,18093.00,-75.45,51.13,74.27,0.86,
2020-01-29 00:00:00 UTC,2.07,3.14,3.55,19533.00,-74.90,51.62,75.39,3.14,
2020-01-30 00:00:00 UTC,6.26,10.31,11.64,20973.00,-74.95,49.11,74.56,10.31,
2020-01-31 00:00:00 UTC,1.74,2.57,2.86,22412.37,-74.77,53.96,80.49,2.57,
2020-02-01 00:00:00 UTC,0.35,0.75,1.09,23853.00,-75.11,53.78,78.46,0.75,
2020-02-02 00:00:00 UTC,1.62,2.90,3.62,25293.00,-75.31,42.86,70.33,2.90,
2020-02-03 00:00:00 UTC,3.21,4.91,5.60,26733.00,-77.54,44.07,64.35,4.91,
2020-02-04 00:00:00 UTC,5.39,7.93,8.93,28173.00,-74.75,40.60,68.65,7.93,
2020-02-05 00:00:00 UTC,2.78,4.16,4.74,29613.00,-74.02,46.49,79.37,4.16,
2020-02-06 00:00:00 UTC,3.39,5.32,5.92,31053.00,-72.64,52.22,78.35,5.32,
2020-02-07 00:00:00 UTC,6.42,12.79,14.89,32493.00,-74.90,51.08,76.01,12.78,
2020-02-08 00:00:00 UTC,0.40,1.14,1.88,33933.00,-75.74,48.73,72.12,1.14,
2020-02-09 00:00:00 UTC,4.01,6.40,7.52,35373.00,-74.72,46.20,67.06,6.40,
2020-02-10 00:00:00 UTC,15.06,21.61,23.57,36813.00,-74.93,47.41,63.36,21.60,
2020-02-11 00:00:00 UTC,10.34,15.49,17.17,38252.51,-74.58,45.80,67.96,10.49,
