created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-01-01 00:00:00 UTC,8.00,8.48,9.13,52887.00,-66.19,53.14,72.15,7.69,
2020-01-02 00:00:00 UTC,3.56,4.71,6.31,54327.00,-66.67,46.49,70.77,4.61,
2020-01-03 00:00:00 UTC,2.12,3.05,4.00,55767.00,-66.52,51.09,69.79,3.04,
2020-01-04 00:00:00 UTC,7.72,8.54,9.65,57207.00,-67.18,48.18,63.99,7.12,
2020-01-05 00:00:00 UTC,1.00,1.75,2.60,58647.00,-67.33,46.31,66.50,1.75,
2020-01-06 00:00:00 UTC,2.37,2.95,3.75,60087.00,-67.80,46.65,74.67,2.93,
2020-01-07 00:00:00 UTC,1.08,1.27,1.57,61527.00,-68.06,52.16,76.12,1.27,
2020-01-08 00:00:00 UTC,5.17,5.94,6.58,62967.00,-68.07,46.87,67.29,5.38,
2020-01-09 00:00:00 UTC,10.02,14.18,17.32,64407.00,-68.03,41.56,68.01,14.14,
2020-01-10 00:00:00 UTC,8.62,12.34,15.28,65847.14,-68.19,41.47,71.32,12.30,
2020-01-11 00:00:00 UTC,0.74,1.41,2.30,67287.00,-68.42,46.49,73.06,1.41,
2020-01-12 00:00:00 UTC,1.05,1.82,2.75,68727.00,-67.98,43.09,70.64,1.82,
2020-01-13 00:00:00 UTC,1.79,3.28,4.95,70167.00,-67.45,37.86,68.53,3.28,
2020-01-14 00:00:00 UTC,3.34,5.24,7.11,34622.45,-65.94,33.51,65.96,5.24,
2020-01-15 00:00:00 UTC,0.84,1.56,2.42,1464.00,-66.73,37.07,56.83,1.56,
2020-01-16 00:00:00 UTC,2.52,3.37,4.27,2904.00,-67.52,43.36,53.97,3.37,
2020-01-17 00:00:00 UTC,8.62,10.52,12.21,4344.00,-66.80,41.19,64.78,9.74,
2020-01-18 00:00:00 UTC,7.70,8.87,9.79,5784.00,-67.60,44.70,66.58,7.90,
2020-01-19 00:00:00 UTC,3.46,5.02,6.23,7224.55,-67.56,51.92,58.28,5.02,
2020-01-20 00:00:00 UTC,12.44,17.73,21.27,8664.00,-68.32,51.50,64.48,16.49,
2020-01-21 00:00:00 UTC,7.87,11.27,13.76,10104.00,-68.47,49.28,66.38,11.21,
2020-01-22 00:00:00 UTC,0.73,1.38,2.29,11544.00,-68.69,47.05,73.51,1.38,
2020-01-23 00:00:00 UTC,4.10,5.44,6.44,12984.03,-68.38,53.12,75.28,5.40,
2020-01-24 00:00:00 UTC,1.44,2.12,2.84,14424.00,-68.43,52.76,75.76,2.12,
