created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-01-01 00:00:00 UTC,0.21,0.53,0.84,197.82,-57.97,55.02,71.92,0.53,
2020-01-02 00:00:00 UTC,1.30,2.56,3.43,151.01,-57.92,49.01,67.13,2.55,
2020-01-03 00:00:00 UTC,3.13,4.50,5.19,398.49,-59.73,52.28,74.00,4.47,
2020-01-04 00:00:00 UTC,0.86,1.61,2.19,1007.13,-60.04,49.61,66.17,1.61,
2020-01-05 00:00:00 UTC,1.12,1.90,2.38,1259.66,-59.68,47.28,70.43,1.90,
2020-01-06 00:00:00 UTC,0.71,0.90,1.24,2699.34,-59.20,48.92,74.16,0.90,
2020-01-07 00:00:00 UTC,0.35,0.46,0.62,3408.06,-59.23,54.82,74.55,0.46,
2020-01-08 00:00:00 UTC,0.32,0.67,1.02,946.05,-61.06,49.58,65.81,0.67,
2020-01-09 00:00:00 UTC,11.98,17.47,19.59,2386.54,-60.70,41.96,72.11,17.38,
2020-01-10 00:00:00 UTC,10.38,15.72,17.89,2706.20,-59.98,43.11,72.48,15.70,
2020-01-11 00:00:00 UTC,0.52,1.09,1.58,1105.42,-58.92,49.24,70.56,1.09,
2020-01-12 00:00:00 UTC,0.37,0.81,1.17,2545.65,-59.96,46.52,67.15,0.81,
2020-01-13 00:00:00 UTC,1.92,3.36,4.26,3985.23,-60.94,40.71,65.15,3.36,
2020-01-14 00:00:00 UTC,6.04,8.95,10.18,916.78,-60.71,35.49,67.22,8.92,
2020-01-15 00:00:00 UTC,2.21,3.28,3.87,719.76,-61.97,39.70,55.42,3.26,
2020-01-16 00:00:00 UTC,2.53,3.79,4.43,1271.32,-61.89,44.34,55.40,3.79,
2020-01-17 00:00:00 UTC,5.72,8.25,9.41,1264.65,-62.04,42.56,64.97,8.14,
2020-01-18 00:00:00 UTC,2.70,3.94,4.51,2704.67,-60.65,47.29,65.36,3.94,
2020-01-19 00:00:00 UTC,4.41,6.14,6.80,4144.56,-60.75,52.30,62.52,6.14,
2020-01-20 00:00:00 UTC,7.61,10.46,11.53,5584.95,-60.88,52.93,63.41,10.41,
2020-01-21 00:00:00 UTC,4.93,6.95,7.73,7024.92,-60.22,50.96,67.77,6.95,
2020-01-22 00:00:00 UTC,1.68,2.74,3.36,6194.97,-59.80,49.74,71.93,2.73,
2020-01-23 00:00:00 UTC,4.55,6.39,7.23,736.52,-59.91,55.24,75.67,6.39,
2020-01-24 00:00:00 UTC,2.20,3.16,3.63,398.78,-59.28,54.86,76.72,3.16,
2020-01-25 00:00:00 UTC,4.78,6.96,7.88,379.16,-58.54,52.96,76.25,6.91,
2020-01-26 00:00:00 UTC,2.45,3.64,4.25,910.83,-59.69,53.33,71.95,3.64,
2020-01-27 00:00:00 UTC,1.81,2.90,3.57,681.44,-59.22,51.64,67.11,2.89,
2020-01-28 00:00:00 UTC,1.71,2.66,3.15,648.75,-60.50,52.23,72.89,2.66,
2020-01-29 00:00:00 UTC,4.29,6.16,6.92,1618.61,-60.34,53.66,72.05,6.16,
2020-01-30 00:00:00 UTC,9.31,14.49,16.57,725.09,-59.86,51.61,73.09,14.45,
