created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-01-01 00:00:00 UTC,0.07,0.25,0.45,54155.00,-70.65,71.00,74.00,0.25,
2020-01-02 00:00:00 UTC,0.54,1.11,1.59,55595.00,-67.42,71.00,74.00,1.11,
2020-01-03 00:00:00 UTC,0.55,0.90,1.13,57035.00,-67.09,71.00,74.00,0.89,
2020-01-04 00:00:00 UTC,0.99,1.57,1.97,58475.00,-67.98,71.00,74.00,1.55,
2020-01-05 00:00:00 UTC,0.30,0.60,0.80,59915.00,-68.80,71.00,74.00,0.60,
2020-01-06 00:00:00 UTC,0.27,0.55,0.76,61355.00,-70.48,71.00,74.00,0.55,
2020-01-07 00:00:00 UTC,0.02,0.05,0.08,62795.00,-70.12,71.00,74.00,0.05,
2020-01-08 00:00:00 UTC,0.06,0.32,0.60,64235.00,-70.01,71.00,74.00,0.32,
2020-01-09 00:00:00 UTC,3.97,5.18,5.63,65675.00,-69.69,71.00,74.00,5.18,
2020-01-10 00:00:00 UTC,3.29,4.37,4.78,67115.00,-69.71,71.00,74.00,4.37,
2020-01-11 00:00:00 UTC,0.39,0.79,1.10,68555.00,-70.35,71.00,74.00,0.79,
2020-01-12 00:00:00 UTC,0.64,1.07,1.37,69995.00,-68.96,71.00,74.00,1.07,
2020-01-13 00:00:00 UTC,2.56,3.59,4.18,43000.64,-72.40,71.00,74.00,3.38,
2020-01-14 00:00:00 UTC,5.64,7.41,8.18,1292.00,-73.45,71.00,74.00,7.41,
2020-01-15 00:00:00 UTC,0.72,1.07,1.30,2732.00,-73.09,71.00,74.00,1.07,
2020-01-16 00:00:00 UTC,0.12,0.38,0.59,4172.00,-72.57,71.00,74.00,0.38,
2020-01-17 00:00:00 UTC,1.77,2.46,2.85,5612.00,-71.53,71.00,74.00,2.46,
2020-01-18 00:00:00 UTC,0.38,0.65,0.78,7052.00,-71.23,71.00,74.00,0.65,
2020-01-19 00:00:00 UTC,1.59,2.19,2.43,8492.00,-71.13,71.00,74.00,2.19,
2020-01-20 00:00:00 UTC,4.99,6.39,6.93,9932.00,-70.32,71.00,74.00,6.39,
2020-01-21 00:00:00 UTC,2.74,3.54,3.90,11372.00,-69.37,71.00,74.00,3.54,
2020-01-22 00:00:00 UTC,0.15,0.40,0.64,12812.00,-71.33,71.00,74.00,0.40,
2020-01-23 00:00:00 UTC,0.91,1.21,1.36,11690.61,-70.03,71.00,74.00,1.21,
2020-01-24 00:00:00 UTC,0.10,0.26,0.39,969.00,-69.76,71.00,74.00,0.26,
2020-01-25 00:00:00 UTC,1.59,2.22,2.51,2409.00,-70.48,71.00,74.00,2.09,
2020-01-26 00:00:00 UTC,0.99,1.38,1.60,3849.00,-70.51,71.00,74.00,1.38,
2020-01-27 00:00:00 UTC,0.18,0.46,0.74,5289.00,-70.67,71.00,74.00,0.46,
2020-01-28 00:00:00 UTC,0.18,0.31,0.42,6729.00,-69.20,71.00,74.00,0.31,
2020-01-29 00:00:00 UTC,0.86,1.26,1.45,8169.00,-68.65,71.00,74.00,1.26,
2020-01-30 00:00:00 UTC,4.53,6.44,7.10,9609.00,-69.30,71.00,74.00,6.43,
2020-01-31 00:00:00 UTC,1.03,1.38,1.57,11049.00,-68.92,71.00,74.00,1.38,
2020-02-01 00:00:00 UTC,0.44,0.92,1.28,6459.14,-69.35,71.00,74.00,0.92,
2020-02-02 00:00:00 UTC,1.16,1.84,2.25,921.00,-69.42,71.00,74.00,1.84,
2020-02-03 00:00:00 UTC,5.06,6.68,7.32,2361.00,-70.70,71.00,74.00,6.48,
2020-02-04 00:00:00 UTC,4.00,5.20,5.70,3801.00,-69.81,71.00,74.00,5.20,
2020-02-05 00:00:00 UTC,0.43,0.64,0.76,5241.00,-70.62,71.00,74.00,0.64,
2020-02-06 00:00:00 UTC,0.62,0.95,1.09,6681.00,-69.31,71.00,74.00,0.95,
2020-02-07 00:00:00 UTC,4.90,8.10,9.28,8121.00,-67.98,71.00,74.00,8.03,
2020-02-08 00:00:00 UTC,0.37,0.93,1.43,9561.00,-68.76,71.00,74.00,0.93,
2020-02-09 00:00:00 UTC,3.76,5.04,5.62,11001.00,-69.35,71.00,74.00,5.04,
2020-02-10 00:00:00 UTC,7.70,9.69,10.45,12441.00,-70.19,71.00,74.00,9.67,
2020-02-11 00:00:00 UTC,7.50,9.62,10.46,13881.00,-69.50,71.00,74.00,9.62,
2020-02-12 00:00:00 UTC,5.27,7.03,7.65,15321.00,-70.50,71.00,74.00,7.03,
2020-02-13 00:00:00 UTC,3.15,4.08,4.44,16761.00,-69.93,71.00,74.00,4.08,
2020-02-14 00:00:00 UTC,0.65,1.17,1.57,18201.00,-69.24,71.00,74.00,1.17,
2020-02-15 00:00:00 UTC,0.52,0.95,1.28,19641.00,-68.74,71.00,74.00,0.95,
2020-02-16 00:00:00 UTC,0.60,1.15,1.53,21081.00,-69.35,71.00,74.00,1.15,
2020-02-17 00:00:00 UTC,1.39,2.12,2.55,22521.00,-69.37,71.00,74.00,2.12,
2020-02-18 00:00:00 UTC,2.76,3.65,4.06,23961.00,-68.82,71.00,74.00,3.65,
2020-02-19 00:00:00 UTC,4.08,5.33,5.89,25401.00,-69.64,71.00,74.00,5.33,
2020-02-20 00:00:00 UTC,2.24,3.04,3.42,26841.00,-68.77,71.00,74.00,3.04,
2020-02-21 00:00:00 UTC,4.42,5.69,6.25,28281.00,-67.82,71.00,74.00,5.69,
2020-02-22 00:00:00 UTC,5.65,7.23,7.88,29721.00,-69.22,71.00,74.00,7.01,
2020-02-23 00:00:00 UTC,3.10,4.02,4.48,31161.00,-70.86,71.00,74.00,4.02,
2020-02-24 00:00:00 UTC,1.23,2.40,3.30,32601.00,-70.42,71.00,74.00,2.40,
2020-02-25 00:00:00 UTC,2.86,4.04,4.74,34041.00,-70.20,71.00,74.00,4.04,
2020-02-26 00:00:00 UTC,4.29,5.81,6.44,35481.00,-69.19,71.00,74.00,5.81,
2020-02-27 00:00:00 UTC,2.15,2.88,3.28,36921.00,-70.67,71.00,74.00,2.88,
2020-02-28 00:00:00 UTC,7.01,9.67,10.77,38361.00,-71.00,71.00,74.00,9.64,
2020-02-29 00:00:00 UTC,0.38,0.72,1.00,39801.00,-69.80,71.00,74.00,0.72,
2020-03-01 00:00:00 UTC,3.78,5.21,5.83,41241.00,-70.53,71.00,74.00,5.21,
2020-03-02 00:00:00 UTC,2.27,3.14,3.57,42681.00,-68.75,71.00,74.00,3.14,
2020-03-03 00:00:00 UTC,0.22,0.40,0.47,44121.00,-71.19,71.00,74.00,0.40,
2020-03-04 00:00:00 UTC,1.08,2.02,2.73,44078.09,-71.23,71.00,74.00,1.94,
2020-03-05 00:00:00 UTC,2.12,3.11,3.70,767.00,-68.19,71.00,74.00,3.11,
2020-03-06 00:00:00 UTC,0.82,1.12,1.27,2207.00,-68.85,71.00,74.00,1.12,
2020-03-07 00:00:00 UTC,8.26,11.72,12.87,3647.00,-69.17,71.00,74.00,11.72,
2020-03-08 00:00:00 UTC,3.92,4.98,5.39,5087.00,-69.40,71.00,74.00,4.96
2020-03-09 00:00:00 UTC,6.70,8.84,9.68,6527.00,-69.02,71.00,74.00,8.82,
2020-03-09 00:00:00 UTC,6.70,8.84,9.68,6527.00,-69.02,71.00,74.00,8.82
2020-03-10 00:00:00 UTC,3.11,4.00,4.41,7967.00,-69.05,71.00,74.00,4.00,
2020-03-10 00:00:00 UTC,3.11,4.00,4.41,7967.00,-69.05,71.00,74.00,4.00
2020-03-11 00:00:00 UTC,0.53,0.96,1.25,9407.08,-69.99,71.00,74.00,0.96,
2020-03-11 00:00:00 UTC,0.53,0.96,1.25,9407.08,-69.99,71.00,74.00,0.96
2020-03-12 00:00:00 UTC,2.47,3.38,3.90,10847.00,-71.25,71.00,74.00,3.38,
2020-03-12 00:00:00 UTC,2.47,3.38,3.90,10847.00,-71.25,71.00,74.00,3.38
2020-03-13 00:00:00 UTC,4.42,5.73,6.27,12287.00,-72.04,71.00,74.00,5.70,
2020-03-13 00:00:00 UTC,4.42,5.73,6.27,12287.00,-72.04,71.00,74.00,5.70
2020-03-14 00:00:00 UTC,1.99,2.65,2.97,13727.00,-72.24,71.00,74.00,2.65,
2020-03-14 00:00:00 UTC,1.99,2.65,2.97,13727.00,-72.24,71.00,74.00,2.65
2020-03-15 00:00:00 UTC,3.56,4.68,5.22,15167.82,-68.94,71.00,74.00,4.68,
2020-03-15 00:00:00 UTC,3.56,4.68,5.22,15167.82,-68.94,71.00,74.00,4.68
2020-03-16 00:00:00 UTC,4.35,5.76,6.38,16607.00,-69.76,71.00,74.00,5.76,
2020-03-16 00:00:00 UTC,4.35,5.76,6.38,16607.00,-69.76,71.00,74.00,5.76
2020-03-17 00:00:00 UTC,5.79,7.49,8.18,18046.13,-67.23,71.00,74.00,7.49,
2020-03-17 00:00:00 UTC,5.79,7.49,8.18,18046.13,-67.23,71.00,74.00,7.49
2020-03-18 00:00:00 UTC,9.44,12.25,13.42,19487.00,-67.98,71.00,74.00,12.25,
2020-03-18 00:00:00 UTC,9.44,12.25,13.42,19487.00,-67.98,71.00,74.00,12.25
