created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-01-01 00:00:00 UTC,0.03,0.17,0.25,20260.67,-60.06,57.92,65.61,0.17,
2020-01-02 00:00:00 UTC,0.28,0.79,0.96,21701.00,-59.79,51.55,64.24,0.79,
2020-01-03 00:00:00 UTC,0.37,0.70,0.79,23141.00,-58.64,57.01,62.58,0.70,
2020-01-04 00:00:00 UTC,0.23,0.58,0.71,24581.00,-57.91,53.31,58.55,0.58,
2020-01-05 00:00:00 UTC,0.16,0.41,0.50,26021.00,-60.94,51.77,59.11,0.41,
2020-01-06 00:00:00 UTC,0.06,0.26,0.33,27459.41,-59.31,52.21,64.78,0.26,
2020-01-07 00:00:00 UTC,0.01,0.06,0.07,28901.00,-59.31,57.95,66.62,0.06,
2020-01-08 00:00:00 UTC,0.02,0.18,0.26,30341.00,-59.71,52.48,60.58,0.18,
2020-01-09 00:00:00 UTC,2.30,3.91,4.21,31781.00,-59.28,46.74,61.75,3.91,
2020-01-10 00:00:00 UTC,1.66,2.95,3.21,33220.05,-58.84,47.14,62.71,2.94,
2020-01-11 00:00:00 UTC,0.14,0.47,0.59,34661.00,-59.88,51.58,65.27,0.47,
2020-01-12 00:00:00 UTC,0.21,0.56,0.68,36101.00,-59.71,48.70,63.43,0.56,
2020-01-13 00:00:00 UTC,0.75,1.69,1.92,37541.00,-59.20,43.81,59.28,1.68,
2020-01-14 00:00:00 UTC,3.96,6.49,6.94,38981.00,-58.66,39.02,59.36,6.48,
2020-01-15 00:00:00 UTC,2.13,3.30,3.51,40421.00,-58.49,41.75,52.18,3.22,
2020-01-16 00:00:00 UTC,0.03,0.17,0.24,41861.00,-59.52,48.67,49.49,0.17,
2020-01-17 00:00:00 UTC,0.91,1.77,1.96,43301.00,-58.15,45.45,57.14,1.77,
2020-01-18 00:00:00 UTC,0.23,0.49,0.56,44741.00,-58.56,50.91,57.62,0.49,
2020-01-19 00:00:00 UTC,0.82,1.47,1.60,31630.75,-58.62,56.52,54.77,1.47,
2020-01-20 00:00:00 UTC,4.12,6.28,6.62,1165.00,-59.03,56.21,56.13,6.28,
2020-01-21 00:00:00 UTC,1.96,2.98,3.17,2605.00,-59.27,55.48,56.57,2.98,
2020-01-22 00:00:00 UTC,0.05,0.22,0.31,4045.00,-58.70,52.64,64.02,0.22,
2020-01-23 00:00:00 UTC,0.90,1.38,1.47,5485.00,-57.94,59.20,64.95,1.38,
2020-01-24 00:00:00 UTC,0.17,0.36,0.43,6925.08,-59.01,58.56,65.69,0.36,
2020-01-25 00:00:00 UTC,0.74,1.37,1.52,8365.00,-57.88,56.82,66.16,1.37,
2020-01-26 00:00:00 UTC,0.71,1.22,1.35,9805.00,-58.46,56.48,64.12,1.22,
2020-01-27 00:00:00 UTC,0.13,0.37,0.47,11245.00,-60.63,55.23,58.04,0.37,
2020-01-28 00:00:00 UTC,0.22,0.44,0.50,5657.78,-60.92,55.93,64.27,0.44,
